Algorithm,Run,HV,IGD,RunTime
NSGAII,1,1.02726936,0.19047233,300.08
NSGAII,2,1.05151411,0.16380534,300.05
NSGAII,3,0.97503159,0.19807131,300.02
NSGAII,4,0.93351331,0.18516493,300.36
NSGAII,5,0.94735054,0.19850711,300.03
NSGAII,6,1.10914375,0.16997172,300.12
NSGAII,7,0.98909961,0.13880781,300.01
NSGAII,8,1.16870945,0.14395134,300.05
NSGAII,9,0.95524545,0.20419641,300.03
NSGAII,10,1.00685975,0.17533435,300.11
NSGAII-Basic,1,0.34334193,0.58237411,300.05
NSGAII-Basic,2,0.39546599,0.52600253,300.05
NSGAII-Basic,3,0.41948876,0.50423133,300.04
NSGAII-Basic,4,0.50970746,0.43149263,300.08
NSGAII-Basic,5,0.27494494,0.64390639,300.04
NSGAII-Basic,6,0.39771412,0.52693550,300.07
NSGAII-Basic,7,0.65445020,0.35794458,300.01
NSGAII-Basic,8,0.39251502,0.52460610,300.02
NSGAII-Basic,9,0.41099920,0.51017787,300.02
NSGAII-Basic,10,0.32630842,0.59956266,300.05
MOEAD,1,0.08611143,0.87832853,300.99
MOEAD,2,0.15403156,0.77569343,301.03
MOEAD,3,0.16200468,0.77758227,300.79
MOEAD,4,0.13643486,0.81712510,301.07
MOEAD,5,0.11852094,0.84483678,301.10
MOEAD,6,0.07801632,0.90222398,300.70
MOEAD,7,0.04995005,0.97195382,300.47
MOEAD,8,0.07729766,0.90089215,301.13
MOEAD,9,0.14996684,0.79889629,301.29
MOEAD,10,0.09592854,0.87173480,300.46
MOGWO,1,0.36351899,0.58502464,300.76
MOGWO,2,0.39561563,0.52895176,300.03
MOGWO,3,0.38205406,0.57782140,301.00
MOGWO,4,0.22230750,0.72989181,300.52
MOGWO,5,0.26265389,0.71506616,301.26
MOGWO,6,0.58177366,0.39408186,301.11
MOGWO,7,0.26266635,0.67321859,300.30
MOGWO,8,0.44055593,0.50917151,300.80
MOGWO,9,0.39098183,0.58675102,301.17
MOGWO,10,0.21794021,0.73589858,300.93
SPEA2,1,0.26722655,0.64846561,300.06
SPEA2,2,0.49998901,0.44156359,300.13
SPEA2,3,0.57193755,0.41606060,300.10
SPEA2,4,0.42275894,0.50547304,300.12
SPEA2,5,0.48287731,0.46501327,300.00
SPEA2,6,0.47697295,0.46298687,300.05
SPEA2,7,0.67603696,0.35028550,300.09
SPEA2,8,0.57518665,0.39516072,300.13
SPEA2,9,0.50229335,0.42966707,300.09
SPEA2,10,0.26435057,0.65890854,300.13
