Pareto前沿解集
================================================================================

解的数量: 100

--------------------------------------------------------------------------------
序号       Cmax                 能耗(kWh)              装箱质量            批次数       
--------------------------------------------------------------------------------
1        69728.86             845.23               0.2561          13        
2        69928.86             842.24               0.2561          13        
3        69928.86             842.24               0.2561          13        
4        69728.86             845.23               0.2561          13        
5        69906.00             844.85               0.2561          13        
6        69906.00             844.85               0.2561          13        
7        69928.86             842.24               0.2561          13        
8        69728.86             845.23               0.2561          13        
9        69906.00             844.85               0.2561          13        
10       69928.86             842.24               0.2561          13        
11       69728.86             845.23               0.2561          13        
12       69906.00             844.85               0.2561          13        
13       69728.86             845.23               0.2561          13        
14       69928.86             842.24               0.2561          13        
15       69906.00             844.85               0.2561          13        
16       69928.86             842.24               0.2561          13        
17       69728.86             845.23               0.2561          13        
18       69906.00             844.85               0.2561          13        
19       69928.86             842.24               0.2561          13        
20       69728.86             845.23               0.2561          13        
21       69906.00             844.85               0.2561          13        
22       69928.86             842.24               0.2561          13        
23       69728.86             845.23               0.2561          13        
24       69906.00             844.85               0.2561          13        
25       69928.86             842.24               0.2561          13        
26       69728.86             845.23               0.2561          13        
27       69906.00             844.85               0.2561          13        
28       69928.86             842.24               0.2561          13        
29       69728.86             845.23               0.2561          13        
30       69906.00             844.85               0.2561          13        
31       69928.86             842.24               0.2561          13        
32       69728.86             845.23               0.2561          13        
33       69906.00             844.85               0.2561          13        
34       69928.86             842.24               0.2561          13        
35       69728.86             845.23               0.2561          13        
36       69906.00             844.85               0.2561          13        
37       69928.86             842.24               0.2561          13        
38       69728.86             845.23               0.2561          13        
39       69906.00             844.85               0.2561          13        
40       69928.86             842.24               0.2561          13        
41       69728.86             845.23               0.2561          13        
42       69906.00             844.85               0.2561          13        
43       69928.86             842.24               0.2561          13        
44       69728.86             845.23               0.2561          13        
45       69906.00             844.85               0.2561          13        
46       69928.86             842.24               0.2561          13        
47       69728.86             845.23               0.2561          13        
48       69906.00             844.85               0.2561          13        
49       69728.86             845.23               0.2561          13        
50       69728.86             845.23               0.2561          13        
51       69728.86             845.23               0.2561          13        
52       69728.86             845.23               0.2561          13        
53       69728.86             845.23               0.2561          13        
54       69728.86             845.23               0.2561          13        
55       69728.86             845.23               0.2561          13        
56       69728.86             845.23               0.2561          13        
57       69728.86             845.23               0.2561          13        
58       69728.86             845.23               0.2561          13        
59       69728.86             845.23               0.2561          13        
60       69728.86             845.23               0.2561          13        
61       69728.86             845.23               0.2561          13        
62       69728.86             845.23               0.2561          13        
63       69928.86             842.24               0.2561          13        
64       69728.86             845.23               0.2561          13        
65       69728.86             845.23               0.2561          13        
66       69728.86             845.23               0.2561          13        
67       69728.86             845.23               0.2561          13        
68       69728.86             845.23               0.2561          13        
69       69728.86             845.23               0.2561          13        
70       69728.86             845.23               0.2561          13        
71       69728.86             845.23               0.2561          13        
72       69728.86             845.23               0.2561          13        
73       69728.86             845.23               0.2561          13        
74       69728.86             845.23               0.2561          13        
75       69728.86             845.23               0.2561          13        
76       69728.86             845.23               0.2561          13        
77       69728.86             845.23               0.2561          13        
78       69928.86             842.24               0.2561          13        
79       69728.86             845.23               0.2561          13        
80       69728.86             845.23               0.2561          13        
81       69728.86             845.23               0.2561          13        
82       69728.86             845.23               0.2561          13        
83       69728.86             845.23               0.2561          13        
84       69728.86             845.23               0.2561          13        
85       69928.86             842.24               0.2561          13        
86       69728.86             845.23               0.2561          13        
87       69728.86             845.23               0.2561          13        
88       69728.86             845.23               0.2561          13        
89       69728.86             845.23               0.2561          13        
90       69728.86             845.23               0.2561          13        
91       69728.86             845.23               0.2561          13        
92       69728.86             845.23               0.2561          13        
93       69906.00             844.85               0.2561          13        
94       69728.86             845.23               0.2561          13        
95       69728.86             845.23               0.2561          13        
96       69728.86             845.23               0.2561          13        
97       69728.86             845.23               0.2561          13        
98       69728.86             845.23               0.2561          13        
99       69728.86             845.23               0.2561          13        
100      69728.86             845.23               0.2561          13        
--------------------------------------------------------------------------------

统计信息:
  Cmax范围: [69728.86, 69928.86]
  能耗范围: [842.24, 845.23] kWh
  Cmax改进: 0.29%
  能耗改进: 0.35%
