Algorithm,Cmax,AvgUtilization,TimeMs
GA-TS,386172.8000,0.7765,300019
GA-TS,375128.8000,0.8412,300081
GA-TS,390469.5000,0.7765,300064
GA-TS,389723.4000,0.7765,300042
GA-TS,379144.8000,0.8412,300029
GA-TS,383383.5000,0.8412,300021
GA-TS,381983.2500,0.8412,300026
GA-TS,390469.5000,0.7765,300110
GA-TS,381703.5000,0.7765,300071
GA-TS,386183.5000,0.7765,300111
GA-GA,414284.8000,0.7765,494347
GA-GA,434364.8000,0.7765,413713
GA-GA,582271.2000,0.8412,420202
GA-GA,508660.8000,0.8412,470091
GA-GA,468500.8000,0.8412,414900
GA-GA,441392.8000,0.7765,361505
GA-GA,383663.5000,0.8412,430253
GA-GA,402236.8000,0.7765,412134
GA-GA,470508.8000,0.8412,380350
GA-GA,610383.2000,0.7765,413588
GA-ACO,644519.2000,0.7765,633419
GA-ACO,624439.2000,0.7765,816880
GA-ACO,689699.2000,0.7210,661100
GA-ACO,719819.2000,0.7210,799969
GA-ACO,678655.2000,0.7210,1064363
GA-ACO,659579.2000,0.7765,762365
GA-ACO,527736.8000,0.7765,677319
GA-ACO,560183.2000,0.6729,1021042
GA-ACO,701747.2000,0.7765,947317
GA-ACO,725843.2000,0.7765,1109010
ALNS,313578.6000,0.0000,300122
ALNS,309746.1000,0.0000,300151
ALNS,312017.1000,0.0000,300131
ALNS,312483.6000,0.0000,300113
ALNS,311188.3000,0.0000,300113
ALNS,315668.3000,0.0000,300346
ALNS,307785.0000,0.0000,300074
ALNS,312461.7000,0.0000,300234
ALNS,315483.9000,0.0000,300038
ALNS,314888.8000,0.0000,300077
