Algorithm,AvgCmax,MinCmax,MaxCmax,StdDev,AvgUtilization,AvgTimeMs
GA-TS,384436.2550,375128.8000,390469.5000,4858.4374,0.8023,300057.40
GA-GA,471626.7500,383663.5000,610383.2000,71429.1477,0.8088,421108.30
GA-ACO,653222.1600,527736.8000,725843.2000,62760.2665,0.7495,849278.40
ALNS,312530.1400,307785.0000,315668.3000,2399.4399,0.0000,300139.90
