Algorithm,Run,HV,IGD,RunTime
NSGAII,1,1.03134527,0.15794315,300.47
NSGAII,2,0.81283446,0.25580488,300.32
NSGAII,3,0.93100378,0.17440386,300.08
NSGAII,4,0.84486725,0.22542033,300.07
NSGAII,5,1.20216356,0.00000000,300.07
NSGAII,6,0.86097404,0.26165545,300.09
NSGAII,7,0.92541819,0.20587319,300.40
NSGAII,8,0.81190691,0.26108820,300.49
NSGAII,9,0.93303613,0.15699112,300.04
NSGAII,10,0.83223879,0.27851350,300.04
NSGAII-Basic,1,0.56381496,0.51122551,300.01
NSGAII-Basic,2,0.44499527,0.58085681,300.02
NSGAII-Basic,3,0.40536843,0.61162385,300.05
NSGAII-Basic,4,0.51209809,0.51405509,300.06
NSGAII-Basic,5,0.48349344,0.53426523,300.05
NSGAII-Basic,6,0.73905232,0.38386789,300.02
NSGAII-Basic,7,0.59375745,0.46036394,300.06
NSGAII-Basic,8,0.50784695,0.52585373,300.02
NSGAII-Basic,9,0.48139966,0.54422617,300.06
NSGAII-Basic,10,0.51056959,0.50745635,300.01
MOEAD,1,0.22727411,0.80963699,300.39
MOEAD,2,0.17874873,0.88094400,300.69
MOEAD,3,0.04336378,1.16191217,300.93
MOEAD,4,0.10533494,1.00756210,300.03
MOEAD,5,0.20709318,0.83363943,300.40
MOEAD,6,0.25927026,0.76473273,300.18
MOEAD,7,0.17169885,0.88840392,300.92
MOEAD,8,0.20296963,0.84049222,301.00
MOEAD,9,0.06526536,1.09726634,300.58
MOEAD,10,0.07814862,1.08427908,300.25
MOGWO,1,0.20183824,0.83509023,300.63
MOGWO,2,0.36583241,0.62615157,300.44
MOGWO,3,0.25914730,0.75751206,300.38
MOGWO,4,0.20310107,0.85358539,300.46
MOGWO,5,0.19594674,0.87560289,300.77
MOGWO,6,0.29044829,0.72600862,300.27
MOGWO,7,0.28674526,0.72249360,300.85
MOGWO,8,0.16942283,0.90874968,300.62
MOGWO,9,0.43286947,0.55298509,300.26
MOGWO,10,0.09062038,1.02356604,300.19
SPEA2,1,0.35956546,0.65509912,300.02
SPEA2,2,0.41297552,0.60005935,300.09
SPEA2,3,0.47191403,0.54600636,300.06
SPEA2,4,0.54741631,0.46783203,300.06
SPEA2,5,0.49430531,0.52259885,300.08
SPEA2,6,0.49511733,0.51278238,300.05
SPEA2,7,0.33062316,0.67713351,300.14
SPEA2,8,0.47971324,0.52747622,300.13
SPEA2,9,0.55203074,0.47131728,300.06
SPEA2,10,0.44931320,0.55737946,300.11
