Algorithm,Run,HV,IGD,RunTime
NSGAII,1,0.74015416,0.26854799,300.10
NSGAII,2,0.69609747,0.25607107,300.09
NSGAII,3,0.77289016,0.20244865,300.03
NSGAII,4,0.81532288,0.18408784,300.02
NSGAII,5,1.02622218,0.12840974,300.42
NSGAII,6,0.72962629,0.22798692,300.09
NSGAII,7,0.94577925,0.19931192,300.04
NSGAII,8,0.94806381,0.22045146,300.10
NSGAII,9,0.94283534,0.16774082,300.14
NSGAII,10,0.89135476,0.19641132,300.08
NSGAII-Basic,1,0.69268934,0.26511208,300.04
NSGAII-Basic,2,0.53040794,0.34672325,300.02
NSGAII-Basic,3,0.85961533,0.14114526,300.04
NSGAII-Basic,4,0.44964420,0.41798009,300.01
NSGAII-Basic,5,0.37126363,0.50244574,300.03
NSGAII-Basic,6,0.45119942,0.43265392,300.03
NSGAII-Basic,7,0.36028250,0.50080619,300.06
NSGAII-Basic,8,0.49460499,0.41017608,300.03
NSGAII-Basic,9,0.50762055,0.37980781,300.01
NSGAII-Basic,10,0.64429396,0.25807197,300.03
MOEAD,1,0.07653034,0.92520775,300.25
MOEAD,2,0.13221494,0.80106124,300.27
MOEAD,3,0.24212146,0.64002909,300.31
MOEAD,4,0.06562281,0.90810885,300.32
MOEAD,5,0.14695289,0.77818678,300.18
MOEAD,6,0.08032881,0.86432251,300.19
MOEAD,7,0.05576447,0.91425084,300.38
MOEAD,8,0.07266266,0.93462584,300.20
MOEAD,9,0.11383841,0.84192847,300.31
MOEAD,10,0.08416933,0.90389622,300.49
MOGWO,1,0.04063609,1.01552419,300.79
MOGWO,2,0.11590237,0.86067125,300.54
MOGWO,3,0.36460281,0.50530998,300.05
MOGWO,4,0.29083839,0.59845726,300.38
MOGWO,5,0.23356975,0.67005531,300.48
MOGWO,6,0.20859415,0.70952819,300.11
MOGWO,7,0.28995550,0.60827883,300.84
MOGWO,8,0.40186973,0.48791326,300.13
MOGWO,9,0.13176629,0.83165272,300.34
MOGWO,10,0.28019195,0.63710295,300.02
SPEA2,1,0.49808221,0.36844487,300.02
SPEA2,2,0.38151500,0.48415433,300.03
SPEA2,3,0.30779843,0.55900201,300.01
SPEA2,4,0.45314251,0.42016510,300.14
SPEA2,5,0.25774877,0.62598579,300.08
SPEA2,6,0.25713014,0.62197060,300.05
SPEA2,7,0.34981007,0.52367252,300.08
SPEA2,8,0.41629933,0.46990739,300.16
SPEA2,9,0.33777991,0.52939686,300.14
SPEA2,10,0.37391709,0.49667364,300.01
