Algorithm,Run,HV,IGD,RunTime
NSGAII,1,0.93687167,0.17636311,300.07
NSGAII,2,0.73469489,0.25114169,300.25
NSGAII,3,1.02536289,0.13756999,300.10
NSGAII,4,0.89055440,0.20697522,300.01
NSGAII,5,0.81871089,0.26185249,300.05
NSGAII,6,0.95801441,0.16349286,300.27
NSGAII,7,0.81066747,0.22412603,300.04
NSGAII,8,0.88050881,0.17238359,300.09
NSGAII,9,0.95269031,0.14962259,300.07
NSGAII,10,1.04263689,0.11417577,300.47
NSGAII-Basic,1,0.41687325,0.47555347,300.01
NSGAII-Basic,2,0.42430004,0.49063027,300.01
NSGAII-Basic,3,0.30678137,0.58962377,300.03
NSGAII-Basic,4,0.46864584,0.44103999,300.01
NSGAII-Basic,5,0.40394442,0.49530309,300.01
NSGAII-Basic,6,0.37754862,0.54066988,300.03
NSGAII-Basic,7,0.52398073,0.39236042,300.04
NSGAII-Basic,8,0.36495547,0.55116831,300.06
NSGAII-Basic,9,0.73698944,0.28798500,300.01
NSGAII-Basic,10,0.28893341,0.62022189,300.01
MOEAD,1,0.36326966,0.54385767,300.11
MOEAD,2,0.08831761,0.89273505,301.00
MOEAD,3,0.11203774,0.86417874,300.28
MOEAD,4,0.11030510,0.86628054,301.00
MOEAD,5,0.13672892,0.81101905,301.06
MOEAD,6,0.07957111,0.92865011,300.44
MOEAD,7,0.20089913,0.71661448,301.09
MOEAD,8,0.13035586,0.83205042,300.96
MOEAD,9,0.10941523,0.86928880,300.41
MOEAD,10,0.31435818,0.58948482,300.62
MOGWO,1,0.30684650,0.58530513,300.42
MOGWO,2,0.22458129,0.70518414,300.99
MOGWO,3,0.30287262,0.60410502,300.76
MOGWO,4,0.20055185,0.71970579,300.53
MOGWO,5,0.29768517,0.60806846,300.49
MOGWO,6,0.42921515,0.52449060,300.27
MOGWO,7,0.26684098,0.63257155,300.35
MOGWO,8,0.30300777,0.59011021,300.61
MOGWO,9,0.23283672,0.73810994,300.26
MOGWO,10,0.34081943,0.55087458,300.37
SPEA2,1,0.36132682,0.55662365,300.11
SPEA2,2,0.65390634,0.29913391,300.07
SPEA2,3,0.74884014,0.28147924,300.10
SPEA2,4,0.61440619,0.36262030,300.02
SPEA2,5,0.31053791,0.57935065,300.02
SPEA2,6,0.39814223,0.51528624,300.08
SPEA2,7,0.62332568,0.31010996,300.17
SPEA2,8,0.18773880,0.74560964,300.11
SPEA2,9,0.48207961,0.44709842,300.07
SPEA2,10,0.39660882,0.49123949,300.04
