Algorithm,Run,HV,IGD,RunTime
NSGAII,1,1.14570130,0.07529024,300.00
NSGAII,2,1.13866415,0.05334116,300.00
NSGAII,3,1.14520610,0.05267890,300.00
NSGAII,4,1.12160638,0.09455012,300.00
NSGAII,5,1.14971759,0.07700557,300.03
NSGAII,6,1.15373022,0.04264869,300.01
NSGAII,7,1.15480259,0.04626308,300.01
NSGAII,8,1.12196874,0.09452232,300.01
NSGAII,9,1.14394723,0.05282975,300.01
NSGAII,10,1.13358221,0.05898777,300.01
NSGAII-Basic,1,0.63367164,0.25927351,300.01
NSGAII-Basic,2,0.62009462,0.27645000,300.01
NSGAII-Basic,3,0.63544088,0.25815878,300.00
NSGAII-Basic,4,0.63135896,0.26366089,300.01
NSGAII-Basic,5,0.62098613,0.26615201,300.01
NSGAII-Basic,6,0.63353787,0.25915530,300.01
NSGAII-Basic,7,0.63459486,0.25872498,300.01
NSGAII-Basic,8,0.61863344,0.27539927,300.00
NSGAII-Basic,9,0.63566496,0.25805085,300.00
NSGAII-Basic,10,0.61231509,0.29599146,300.01
MOEAD,1,0.53894192,0.33842981,300.07
MOEAD,2,0.57401194,0.32610369,300.02
MOEAD,3,0.53617673,0.35079001,300.04
MOEAD,4,0.51372540,0.38064774,300.02
MOEAD,5,0.56584523,0.33280428,300.02
MOEAD,6,0.50060951,0.39727304,300.03
MOEAD,7,0.55361323,0.35490866,300.05
MOEAD,8,0.51883278,0.39453881,300.03
MOEAD,9,0.53809484,0.36542958,300.02
MOEAD,10,0.54276741,0.35694807,300.03
MOGWO,1,0.92871605,0.19656420,300.09
MOGWO,2,0.96911774,0.22313490,300.13
MOGWO,3,0.83326108,0.17546140,300.18
MOGWO,4,0.97173152,0.15898417,300.12
MOGWO,5,0.94499526,0.22732280,300.12
MOGWO,6,0.96730913,0.15754401,300.15
MOGWO,7,0.93424610,0.21015822,300.04
MOGWO,8,1.01146012,0.13010171,300.10
MOGWO,9,1.01317954,0.13512702,300.04
MOGWO,10,0.95906517,0.22267081,300.18
SPEA2,1,0.61250585,0.28193562,300.04
SPEA2,2,0.61875985,0.27882177,300.04
SPEA2,3,0.61555323,0.28491316,300.03
SPEA2,4,0.60794118,0.29215505,300.07
SPEA2,5,0.61523675,0.27482295,300.02
SPEA2,6,0.61015437,0.28856461,300.04
SPEA2,7,0.60707999,0.30024633,300.06
SPEA2,8,0.62069529,0.27260660,300.02
SPEA2,9,0.60190191,0.29994242,300.03
SPEA2,10,0.62409773,0.28603858,300.06
