Algorithm,AvgCmax,MinCmax,MaxCmax,StdDev,AvgUtilization,AvgTimeMs
GA-TS,259558.8000,252846.0000,266361.0000,3722.5243,0.8293,300011.20
GA-GA,249795.0500,245970.7500,255647.2500,3007.1057,0.8293,391103.10
GA-ACO,273099.9750,266541.0000,279341.0000,4004.0437,0.7832,553980.30
ALNS,223738.8200,221396.0000,227631.9000,1949.8919,0.0000,300029.80
