Algorithm,Cmax,AvgUtilization,TimeMs
GA-TS,255024.7500,0.8293,300015
GA-TS,266361.0000,0.8293,300015
GA-TS,252846.0000,0.8293,300005
GA-TS,259517.0000,0.8293,300014
GA-TS,257798.2500,0.8293,300010
GA-TS,262778.2500,0.8293,300010
GA-TS,257740.0000,0.8293,300006
GA-TS,260004.7500,0.8293,300011
GA-TS,261641.0000,0.8293,300016
GA-TS,261877.0000,0.8293,300010
GA-GA,248425.0000,0.8293,380649
GA-GA,247245.0000,0.8293,424874
GA-GA,251601.0000,0.8293,436100
GA-GA,247481.0000,0.8293,337731
GA-GA,255647.2500,0.8293,394596
GA-GA,246537.0000,0.8293,377843
GA-GA,252846.0000,0.8293,383078
GA-GA,251884.5000,0.8293,371681
GA-GA,245970.7500,0.8293,416634
GA-GA,250313.0000,0.8293,387845
GA-ACO,272969.0000,0.7372,640446
GA-ACO,276509.0000,0.7372,542623
GA-ACO,279341.0000,0.7372,532503
GA-ACO,266541.0000,0.8293,568026
GA-ACO,268249.0000,0.7372,517458
GA-ACO,272261.0000,0.8293,573975
GA-ACO,278679.7500,0.7372,451945
GA-ACO,271789.0000,0.8293,503299
GA-ACO,270276.0000,0.8293,654216
GA-ACO,274385.0000,0.8293,555312
ALNS,223289.7000,0.0000,300008
ALNS,223573.2000,0.0000,300077
ALNS,224464.0000,0.0000,300018
ALNS,223284.0000,0.0000,300032
ALNS,223274.4000,0.0000,300000
ALNS,221396.0000,0.0000,300049
ALNS,226710.6000,0.0000,300092
ALNS,227631.9000,0.0000,300016
ALNS,222368.4000,0.0000,300006
ALNS,221396.0000,0.0000,300000
