Pareto前沿解集
================================================================================

解的数量: 100

--------------------------------------------------------------------------------
序号       Cmax                 能耗(kWh)              装箱质量            批次数       
--------------------------------------------------------------------------------
1        57439.26             713.53               0.5771          12        
2        57168.31             714.87               0.5771          12        
3        57168.31             714.87               0.5771          12        
4        57439.26             713.53               0.5771          12        
5        57352.87             714.27               0.5771          12        
6        57352.87             714.27               0.5771          12        
7        57214.26             714.72               0.5771          12        
8        57214.26             714.72               0.5771          12        
9        57168.31             714.87               0.5771          12        
10       57439.26             713.53               0.5771          12        
11       57352.87             714.27               0.5771          12        
12       57214.26             714.72               0.5771          12        
13       57168.31             714.87               0.5771          12        
14       57439.26             713.53               0.5771          12        
15       57352.87             714.27               0.5771          12        
16       57214.26             714.72               0.5771          12        
17       57439.26             713.53               0.5771          12        
18       57168.31             714.87               0.5771          12        
19       57352.87             714.27               0.5771          12        
20       57214.26             714.72               0.5771          12        
21       57439.26             713.53               0.5771          12        
22       57168.31             714.87               0.5771          12        
23       57352.87             714.27               0.5771          12        
24       57214.26             714.72               0.5771          12        
25       57168.31             714.87               0.5771          12        
26       57439.26             713.53               0.5771          12        
27       57352.87             714.27               0.5771          12        
28       57214.26             714.72               0.5771          12        
29       57168.31             714.87               0.5771          12        
30       57439.26             713.53               0.5771          12        
31       57352.87             714.27               0.5771          12        
32       57214.26             714.72               0.5771          12        
33       57168.31             714.87               0.5771          12        
34       57439.26             713.53               0.5771          12        
35       57352.87             714.27               0.5771          12        
36       57214.26             714.72               0.5771          12        
37       57439.26             713.53               0.5771          12        
38       57168.31             714.87               0.5771          12        
39       57352.87             714.27               0.5771          12        
40       57214.26             714.72               0.5771          12        
41       57439.26             713.53               0.5771          12        
42       57168.31             714.87               0.5771          12        
43       57352.87             714.27               0.5771          12        
44       57214.26             714.72               0.5771          12        
45       57439.26             713.53               0.5771          12        
46       57168.31             714.87               0.5771          12        
47       57352.87             714.27               0.5771          12        
48       57214.26             714.72               0.5771          12        
49       57439.26             713.53               0.5771          12        
50       57168.31             714.87               0.5771          12        
51       57352.87             714.27               0.5771          12        
52       57214.26             714.72               0.5771          12        
53       57439.26             713.53               0.5771          12        
54       57168.31             714.87               0.5771          12        
55       57352.87             714.27               0.5771          12        
56       57214.26             714.72               0.5771          12        
57       57168.31             714.87               0.5771          12        
58       57439.26             713.53               0.5771          12        
59       57352.87             714.27               0.5771          12        
60       57214.26             714.72               0.5771          12        
61       57168.31             714.87               0.5771          12        
62       57439.26             713.53               0.5771          12        
63       57352.87             714.27               0.5771          12        
64       57214.26             714.72               0.5771          12        
65       57168.31             714.87               0.5771          12        
66       57439.26             713.53               0.5771          12        
67       57352.87             714.27               0.5771          12        
68       57214.26             714.72               0.5771          12        
69       57168.31             714.87               0.5771          12        
70       57439.26             713.53               0.5771          12        
71       57214.26             714.72               0.5771          12        
72       57168.31             714.87               0.5771          12        
73       57439.26             713.53               0.5771          12        
74       57214.26             714.72               0.5771          12        
75       57439.26             713.53               0.5771          12        
76       57168.31             714.87               0.5771          12        
77       57214.26             714.72               0.5771          12        
78       57168.31             714.87               0.5771          12        
79       57439.26             713.53               0.5771          12        
80       57214.26             714.72               0.5771          12        
81       57168.31             714.87               0.5771          12        
82       57439.26             713.53               0.5771          12        
83       57214.26             714.72               0.5771          12        
84       57439.26             713.53               0.5771          12        
85       57168.31             714.87               0.5771          12        
86       57214.26             714.72               0.5771          12        
87       57439.26             713.53               0.5771          12        
88       57168.31             714.87               0.5771          12        
89       57214.26             714.72               0.5771          12        
90       57439.26             713.53               0.5771          12        
91       57168.31             714.87               0.5771          12        
92       57214.26             714.72               0.5771          12        
93       57168.31             714.87               0.5771          12        
94       57439.26             713.53               0.5771          12        
95       57214.26             714.72               0.5771          12        
96       57439.26             713.53               0.5771          12        
97       57168.31             714.87               0.5771          12        
98       57214.26             714.72               0.5771          12        
99       57439.26             713.53               0.5771          12        
100      57168.31             714.87               0.5771          12        
--------------------------------------------------------------------------------

统计信息:
  Cmax范围: [57168.31, 57439.26]
  能耗范围: [713.53, 714.87] kWh
  Cmax改进: 0.47%
  能耗改进: 0.19%
