╔═══════════════════════════════════════════════════════════════╗
║           NSGA-II 多目标优化结果                              ║
╚═══════════════════════════════════════════════════════════════╝

生成时间: Mon Jan 26 12:24:04 CST 2026
算例文件: C:\Users\Zhang Hailong\Desktop\毕设相关\毕设程序\Article\chapter-3\src\main\resources\instance\J100P5B4D10_02.txt

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  问题信息
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
工件数:       100
机器总数:     17
打印机数:     5
批处理机数:   2

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  算法参数
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
种群规模:     100
最大代数:     200
交叉率:       0.9
变异率:       0.1
最大运行时间: 1.0 分钟

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  Pareto前沿（共 100 个解）
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

序号     Cmax         能耗(kWh)        PackingQ     批次数        拥挤距离        
────────────────────────────────────────────────────────────────────────
1      57168.31     714.87         0.5771       12         INF         
2      57168.31     714.87         0.5771       12         INF         
3      57168.31     714.87         0.5771       12         0.0000      
4      57168.31     714.87         0.5771       12         0.0000      
5      57168.31     714.87         0.5771       12         0.0000      
6      57168.31     714.87         0.5771       12         0.0000      
7      57168.31     714.87         0.5771       12         0.0000      
8      57168.31     714.87         0.5771       12         0.0000      
9      57168.31     714.87         0.5771       12         0.0000      
10     57168.31     714.87         0.5771       12         0.0000      
11     57168.31     714.87         0.5771       12         0.0000      
12     57168.31     714.87         0.5771       12         0.0000      
13     57168.31     714.87         0.5771       12         0.0000      
14     57168.31     714.87         0.5771       12         0.0000      
15     57168.31     714.87         0.5771       12         0.0000      
16     57168.31     714.87         0.5771       12         0.0000      
17     57168.31     714.87         0.5771       12         0.0000      
18     57168.31     714.87         0.5771       12         0.0000      
19     57168.31     714.87         0.5771       12         0.0000      
20     57168.31     714.87         0.5771       12         0.0000      
21     57168.31     714.87         0.5771       12         0.0000      
22     57168.31     714.87         0.5771       12         0.0000      
23     57168.31     714.87         0.5771       12         0.0000      
24     57168.31     714.87         0.5771       12         0.0000      
25     57168.31     714.87         0.5771       12         0.0000      
26     57168.31     714.87         0.5771       12         0.0000      
27     57168.31     714.87         0.5771       12         0.0000      
28     57168.31     714.87         0.5771       12         0.0000      
29     57214.26     714.72         0.5771       12         0.6254      
30     57214.26     714.72         0.5771       12         0.4995      
31     57214.26     714.72         0.5771       12         0.0000      
32     57214.26     714.72         0.5771       12         0.0000      
33     57214.26     714.72         0.5771       12         0.0000      
34     57214.26     714.72         0.5771       12         0.0000      
35     57214.26     714.72         0.5771       12         0.0000      
36     57214.26     714.72         0.5771       12         0.0000      
37     57214.26     714.72         0.5771       12         0.0000      
38     57214.26     714.72         0.5771       12         0.0000      
39     57214.26     714.72         0.5771       12         0.0000      
40     57214.26     714.72         0.5771       12         0.0000      
41     57214.26     714.72         0.5771       12         0.0000      
42     57214.26     714.72         0.5771       12         0.0000      
43     57214.26     714.72         0.5771       12         0.0000      
44     57214.26     714.72         0.5771       12         0.0000      
45     57214.26     714.72         0.5771       12         0.0000      
46     57214.26     714.72         0.5771       12         0.0000      
47     57214.26     714.72         0.5771       12         0.0000      
48     57214.26     714.72         0.5771       12         0.0000      
49     57214.26     714.72         0.5771       12         0.0000      
50     57214.26     714.72         0.5771       12         0.0000      
51     57214.26     714.72         0.5771       12         0.0000      
52     57214.26     714.72         0.5771       12         0.0000      
53     57214.26     714.72         0.5771       12         0.0000      
54     57214.26     714.72         0.5771       12         0.0000      
55     57214.26     714.72         0.5771       12         0.0000      
56     57352.87     714.27         0.5771       12         1.0679      
57     57352.87     714.27         0.5771       12         0.6487      
58     57352.87     714.27         0.5771       12         0.0000      
59     57352.87     714.27         0.5771       12         0.0000      
60     57352.87     714.27         0.5771       12         0.0000      
61     57352.87     714.27         0.5771       12         0.0000      
62     57352.87     714.27         0.5771       12         0.0000      
63     57352.87     714.27         0.5771       12         0.0000      
64     57352.87     714.27         0.5771       12         0.0000      
65     57352.87     714.27         0.5771       12         0.0000      
66     57352.87     714.27         0.5771       12         0.0000      
67     57352.87     714.27         0.5771       12         0.0000      
68     57352.87     714.27         0.5771       12         0.0000      
69     57352.87     714.27         0.5771       12         0.0000      
70     57352.87     714.27         0.5771       12         0.0000      
71     57352.87     714.27         0.5771       12         0.0000      
72     57352.87     714.27         0.5771       12         0.0000      
73     57439.26     713.53         0.5771       12         INF         
