================================================================================
                          田口实验结果报告
================================================================================
算例名称: 随机密钥GA算法
实验次数: 第 4 次
实验时间: 2025-12-21 20:12:35

【参数配置】
GAParameters{
  popSize=200, pr=0.15, pc=0.90, pm=0.30
  maxStagnantStep=300000 (早停阈值), maxRunTime=3.0分钟
  localSearch: 启用 (maxIter=10, noImprove=3)
  heuristicInit: 启用 (ratio=0.80)
  candidates: N1N2=10, N3=5, N4=8, N5=6
}

========== 随机密钥遗传算法开始 ==========
问题规模: 50个零件, 5台打印机
种群大小: 200
交叉率: 0.9
变异率: 0.3
精英保留比例: 10.0%
终止条件: 3.0分钟 或 300000代无改进
==========================================

正在初始化种群...
初始种群最优解: Makespan = 152706.83
初始种群平均解: Makespan = 436346.33

Gen    1 | 最优: 152706.83 | 平均: 359465.16 | 改进: 0.00 | 停滞: 1/300000 | 耗时: 0.0分钟
Gen   50 | 最优: 128184.13 | 平均: 246398.11 | 改进: 24522.70 | 停滞: 2/300000 | 耗时: 0.0分钟
Gen  100 | 最优: 126895.35 | 平均: 247642.01 | 改进: 1288.78 | 停滞: 31/300000 | 耗时: 0.0分钟
Gen  150 | 最优: 126572.97 | 平均: 244945.00 | 改进: 322.38 | 停滞: 11/300000 | 耗时: 0.1分钟
Gen  200 | 最优: 125472.97 | 平均: 263981.76 | 改进: 1100.00 | 停滞: 27/300000 | 耗时: 0.1分钟
Gen  250 | 最优: 122847.35 | 平均: 254502.81 | 改进: 2625.62 | 停滞: 5/300000 | 耗时: 0.1分钟
Gen  300 | 最优: 122278.97 | 平均: 249026.48 | 改进: 568.38 | 停滞: 29/300000 | 耗时: 0.1分钟
Gen  350 | 最优: 121620.97 | 平均: 257117.51 | 改进: 658.00 | 停滞: 21/300000 | 耗时: 0.1分钟
Gen  400 | 最优: 121620.97 | 平均: 244658.06 | 改进: 0.00 | 停滞: 71/300000 | 耗时: 0.2分钟
Gen  450 | 最优: 121491.97 | 平均: 243486.42 | 改进: 129.00 | 停滞: 37/300000 | 耗时: 0.2分钟
Gen  500 | 最优: 120974.88 | 平均: 257331.45 | 改进: 517.09 | 停滞: 39/300000 | 耗时: 0.2分钟
Gen  550 | 最优: 120974.88 | 平均: 246230.37 | 改进: 0.00 | 停滞: 89/300000 | 耗时: 0.2分钟
Gen  600 | 最优: 120974.88 | 平均: 253305.40 | 改进: 0.00 | 停滞: 139/300000 | 耗时: 0.2分钟
Gen  650 | 最优: 120974.88 | 平均: 250541.77 | 改进: 0.00 | 停滞: 189/300000 | 耗时: 0.3分钟
Gen  700 | 最优: 120974.88 | 平均: 239463.08 | 改进: 0.00 | 停滞: 239/300000 | 耗时: 0.3分钟
Gen  750 | 最优: 120974.88 | 平均: 242425.23 | 改进: 0.00 | 停滞: 289/300000 | 耗时: 0.3分钟
Gen  800 | 最优: 120966.97 | 平均: 251121.54 | 改进: 7.91 | 停滞: 9/300000 | 耗时: 0.3分钟
Gen  850 | 最优: 120966.97 | 平均: 252619.31 | 改进: 0.00 | 停滞: 59/300000 | 耗时: 0.4分钟
Gen  900 | 最优: 120966.97 | 平均: 246897.43 | 改进: 0.00 | 停滞: 109/300000 | 耗时: 0.4分钟
Gen  950 | 最优: 120900.97 | 平均: 238458.54 | 改进: 66.00 | 停滞: 10/300000 | 耗时: 0.4分钟
Gen 1000 | 最优: 120900.97 | 平均: 258833.29 | 改进: 0.00 | 停滞: 60/300000 | 耗时: 0.4分钟
Gen 1050 | 最优: 120787.97 | 平均: 243967.52 | 改进: 113.00 | 停滞: 26/300000 | 耗时: 0.4分钟
Gen 1100 | 最优: 120787.97 | 平均: 232634.30 | 改进: 0.00 | 停滞: 76/300000 | 耗时: 0.5分钟
Gen 1150 | 最优: 120787.97 | 平均: 244223.91 | 改进: 0.00 | 停滞: 126/300000 | 耗时: 0.5分钟
Gen 1200 | 最优: 120192.88 | 平均: 246569.20 | 改进: 595.09 | 停滞: 2/300000 | 耗时: 0.5分钟
Gen 1250 | 最优: 118986.13 | 平均: 247104.06 | 改进: 1206.75 | 停滞: 13/300000 | 耗时: 0.5分钟
Gen 1300 | 最优: 118986.13 | 平均: 244239.85 | 改进: 0.00 | 停滞: 63/300000 | 耗时: 0.5分钟
Gen 1350 | 最优: 118986.13 | 平均: 249819.27 | 改进: 0.00 | 停滞: 113/300000 | 耗时: 0.6分钟
Gen 1400 | 最优: 118986.13 | 平均: 246964.40 | 改进: 0.00 | 停滞: 163/300000 | 耗时: 0.6分钟
Gen 1450 | 最优: 118986.13 | 平均: 245547.28 | 改进: 0.00 | 停滞: 213/300000 | 耗时: 0.6分钟
Gen 1500 | 最优: 118042.13 | 平均: 233542.89 | 改进: 944.00 | 停滞: 10/300000 | 耗时: 0.6分钟
Gen 1550 | 最优: 118042.13 | 平均: 245536.93 | 改进: 0.00 | 停滞: 60/300000 | 耗时: 0.6分钟
Gen 1600 | 最优: 118042.13 | 平均: 255181.28 | 改进: 0.00 | 停滞: 110/300000 | 耗时: 0.7分钟
Gen 1650 | 最优: 118042.13 | 平均: 244429.45 | 改进: 0.00 | 停滞: 160/300000 | 耗时: 0.7分钟
Gen 1700 | 最优: 118042.13 | 平均: 234559.66 | 改进: 0.00 | 停滞: 210/300000 | 耗时: 0.7分钟
Gen 1750 | 最优: 118042.13 | 平均: 237838.97 | 改进: 0.00 | 停滞: 260/300000 | 耗时: 0.7分钟
Gen 1800 | 最优: 118042.13 | 平均: 249142.93 | 改进: 0.00 | 停滞: 310/300000 | 耗时: 0.7分钟
Gen 1850 | 最优: 118042.13 | 平均: 238640.61 | 改进: 0.00 | 停滞: 360/300000 | 耗时: 0.8分钟
Gen 1900 | 最优: 117522.96 | 平均: 248946.95 | 改进: 519.17 | 停滞: 38/300000 | 耗时: 0.8分钟
Gen 1950 | 最优: 117522.96 | 平均: 244034.25 | 改进: 0.00 | 停滞: 88/300000 | 耗时: 0.8分钟
Gen 2000 | 最优: 117522.96 | 平均: 238880.93 | 改进: 0.00 | 停滞: 138/300000 | 耗时: 0.8分钟
Gen 2050 | 最优: 117522.96 | 平均: 244682.84 | 改进: 0.00 | 停滞: 188/300000 | 耗时: 0.8分钟
Gen 2100 | 最优: 117522.96 | 平均: 239368.61 | 改进: 0.00 | 停滞: 238/300000 | 耗时: 0.9分钟
Gen 2150 | 最优: 117522.96 | 平均: 249265.54 | 改进: 0.00 | 停滞: 288/300000 | 耗时: 0.9分钟
Gen 2200 | 最优: 117522.96 | 平均: 232184.51 | 改进: 0.00 | 停滞: 338/300000 | 耗时: 0.9分钟
Gen 2250 | 最优: 117522.96 | 平均: 248649.80 | 改进: 0.00 | 停滞: 388/300000 | 耗时: 0.9分钟
Gen 2300 | 最优: 117522.96 | 平均: 250775.58 | 改进: 0.00 | 停滞: 438/300000 | 耗时: 0.9分钟
Gen 2350 | 最优: 117522.96 | 平均: 252278.86 | 改进: 0.00 | 停滞: 488/300000 | 耗时: 1.0分钟
Gen 2400 | 最优: 116455.13 | 平均: 241603.28 | 改进: 1067.83 | 停滞: 22/300000 | 耗时: 1.0分钟
Gen 2450 | 最优: 116455.13 | 平均: 254301.29 | 改进: 0.00 | 停滞: 72/300000 | 耗时: 1.0分钟
