================================================================================
                          田口实验结果报告
================================================================================
算例名称: 随机密钥GA算法
实验次数: 第 7 次
实验时间: 2025-12-21 19:51:25

【参数配置】
GAParameters{
  popSize=200, pr=0.15, pc=0.90, pm=0.30
  maxStagnantStep=300000 (早停阈值), maxRunTime=3.0分钟
  localSearch: 启用 (maxIter=10, noImprove=3)
  heuristicInit: 启用 (ratio=0.80)
  candidates: N1N2=10, N3=5, N4=8, N5=6
}

========== 随机密钥遗传算法开始 ==========
问题规模: 20个零件, 3台打印机
种群大小: 200
交叉率: 0.9
变异率: 0.3
精英保留比例: 10.0%
终止条件: 3.0分钟 或 300000代无改进
==========================================

正在初始化种群...
初始种群最优解: Makespan = 52351.30
初始种群平均解: Makespan = 72915.06

Gen    1 | 最优: 47179.14 | 平均: 67957.38 | 改进: 5172.16 | 停滞: 0/300000 | 耗时: 0.0分钟
Gen   50 | 最优: 42672.07 | 平均: 63799.29 | 改进: 4507.07 | 停滞: 19/300000 | 耗时: 0.0分钟
Gen  100 | 最优: 41209.07 | 平均: 63840.47 | 改进: 1463.00 | 停滞: 38/300000 | 耗时: 0.0分钟
Gen  150 | 最优: 41209.07 | 平均: 64173.93 | 改进: 0.00 | 停滞: 88/300000 | 耗时: 0.0分钟
Gen  200 | 最优: 41209.07 | 平均: 63721.02 | 改进: 0.00 | 停滞: 138/300000 | 耗时: 0.0分钟
Gen  250 | 最优: 41209.07 | 平均: 62366.59 | 改进: 0.00 | 停滞: 188/300000 | 耗时: 0.0分钟
Gen  300 | 最优: 41040.07 | 平均: 62879.40 | 改进: 169.00 | 停滞: 41/300000 | 耗时: 0.0分钟
Gen  350 | 最优: 41040.07 | 平均: 61977.62 | 改进: 0.00 | 停滞: 91/300000 | 耗时: 0.0分钟
Gen  400 | 最优: 41040.07 | 平均: 65341.79 | 改进: 0.00 | 停滞: 141/300000 | 耗时: 0.1分钟
Gen  450 | 最优: 41040.07 | 平均: 63712.77 | 改进: 0.00 | 停滞: 191/300000 | 耗时: 0.1分钟
Gen  500 | 最优: 41040.07 | 平均: 63910.86 | 改进: 0.00 | 停滞: 241/300000 | 耗时: 0.1分钟
Gen  550 | 最优: 41040.07 | 平均: 63760.85 | 改进: 0.00 | 停滞: 291/300000 | 耗时: 0.1分钟
Gen  600 | 最优: 41040.07 | 平均: 63020.68 | 改进: 0.00 | 停滞: 341/300000 | 耗时: 0.1分钟
Gen  650 | 最优: 41040.07 | 平均: 62588.49 | 改进: 0.00 | 停滞: 391/300000 | 耗时: 0.1分钟
Gen  700 | 最优: 41040.07 | 平均: 64105.71 | 改进: 0.00 | 停滞: 441/300000 | 耗时: 0.1分钟
Gen  750 | 最优: 41040.07 | 平均: 63526.34 | 改进: 0.00 | 停滞: 491/300000 | 耗时: 0.1分钟
Gen  800 | 最优: 41040.07 | 平均: 64323.27 | 改进: 0.00 | 停滞: 541/300000 | 耗时: 0.1分钟
