Algorithm,AvgCmax,MinCmax,MaxCmax,StdDev,AvgUtilization,AvgTimeMs
GA-TS,141620.5250,133893.0000,146343.0000,4248.3787,0.7912,300011.20
GA-GA,134545.5750,127045.5000,141975.0000,4298.5062,0.8077,337075.70
GA-ACO,141658.1250,135760.5000,146343.0000,3201.9886,0.7748,375132.10
ALNS,122970.0000,122970.0000,122970.0000,0.0000,0.0000,300002.80
