Algorithm,Cmax,AvgUtilization,TimeMs
GA-TS,133893.0000,0.8242,300007
GA-TS,146343.0000,0.8242,300017
GA-TS,140118.0000,0.8242,300007
GA-TS,135449.2500,0.8242,300014
GA-TS,140118.0000,0.8242,300003
GA-TS,140118.0000,0.8242,300013
GA-TS,143627.0000,0.6594,300013
GA-TS,146343.0000,0.6594,300011
GA-TS,146343.0000,0.8242,300010
GA-TS,143853.0000,0.8242,300017
GA-GA,135760.5000,0.8242,330217
GA-GA,141975.0000,0.6594,333971
GA-GA,131714.2500,0.8242,331179
GA-GA,132648.0000,0.8242,335985
GA-GA,140118.0000,0.8242,319556
GA-GA,136383.0000,0.8242,368972
GA-GA,135138.0000,0.8242,379996
GA-GA,127045.5000,0.8242,333101
GA-GA,129535.5000,0.8242,321393
GA-GA,135138.0000,0.8242,316387
GA-ACO,142608.0000,0.8242,402845
GA-ACO,146343.0000,0.8242,384675
GA-ACO,141985.5000,0.8242,355779
GA-ACO,138250.5000,0.8242,378004
GA-ACO,141051.7500,0.8242,345745
GA-ACO,146343.0000,0.6594,362266
GA-ACO,135760.5000,0.8242,393430
GA-ACO,138873.0000,0.8242,413508
GA-ACO,143391.0000,0.6594,351498
GA-ACO,141975.0000,0.6594,363571
ALNS,122970.0000,0.0000,300003
ALNS,122970.0000,0.0000,300006
ALNS,122970.0000,0.0000,300003
ALNS,122970.0000,0.0000,300001
ALNS,122970.0000,0.0000,300001
ALNS,122970.0000,0.0000,300003
ALNS,122970.0000,0.0000,300005
ALNS,122970.0000,0.0000,300001
ALNS,122970.0000,0.0000,300002
ALNS,122970.0000,0.0000,300003
