Algorithm,Run,HV,IGD,RunTime
NSGAII,1,0.29581651,0.50063329,600.29
NSGAII,2,0.22013758,0.22925332,600.14
NSGAII,3,0.23500504,0.29048449,600.12
NSGAII,4,0.19558518,0.27748316,600.13
NSGAII,5,0.06098530,0.00000000,600.18
NSGAII,6,0.23200251,0.36296004,600.13
NSGAII,7,0.24197808,0.29767436,600.13
NSGAII,8,0.11637416,0.11996340,600.28
NSGAII,9,0.16108255,0.21220489,600.31
NSGAII,10,0.18352407,0.24039180,600.30
NSGAII-Basic,1,0.15282224,0.08177006,300.02
NSGAII-Basic,2,0.11937154,0.06114600,300.01
NSGAII-Basic,3,0.10339861,0.08651840,300.03
NSGAII-Basic,4,0.25725186,0.31785483,300.07
NSGAII-Basic,5,0.14745458,0.09205482,300.04
NSGAII-Basic,6,0.22127440,0.16039397,300.02
NSGAII-Basic,7,0.18704871,0.24177466,300.02
NSGAII-Basic,8,0.28695735,0.34460050,300.07
NSGAII-Basic,9,0.25705129,0.36328199,300.01
NSGAII-Basic,10,0.33553161,0.21317643,300.05
MOEAD,1,0.25680620,0.45845884,300.12
MOEAD,2,0.16541969,0.51102785,300.09
MOEAD,3,0.09784169,0.72612741,300.05
MOEAD,4,0.17383805,0.62810068,300.07
MOEAD,5,0.26826509,0.92175828,300.07
MOEAD,6,0.17952050,0.69240802,300.15
MOEAD,7,0.10420849,0.70729012,300.07
MOEAD,8,0.23277199,0.51956778,300.12
MOEAD,9,0.14840538,0.79976233,300.05
MOEAD,10,0.20691123,0.72632132,300.12
MOGWO,1,0.21303684,0.94356240,300.06
MOGWO,2,0.19492980,0.87319003,300.06
MOGWO,3,0.29826495,0.72585925,300.02
MOGWO,4,0.20920582,0.89270803,300.02
MOGWO,5,0.10233489,0.83027186,300.05
MOGWO,6,0.22272468,0.66647937,300.07
MOGWO,7,0.28663004,0.83492353,300.05
MOGWO,8,0.17581266,0.86064310,300.03
MOGWO,9,0.42859390,0.83098281,300.03
MOGWO,10,0.10493042,1.15110222,300.04
SPEA2,1,0.18582669,0.38834862,300.09
SPEA2,2,0.18472739,0.31504452,300.06
SPEA2,3,0.20734846,0.39394891,300.04
SPEA2,4,0.20230363,0.46195864,300.09
SPEA2,5,0.23229150,0.64832828,300.05
SPEA2,6,0.16847898,0.37137359,300.08
SPEA2,7,0.08576804,0.13951950,300.04
SPEA2,8,0.16395758,0.19909670,300.03
SPEA2,9,0.11682226,0.17016505,300.03
SPEA2,10,0.25339770,0.39317105,300.03
