Algorithm,RunID,Cmax,AvgUtilization,TimeMs,MachinePath,ItemPath
GA-TS,1,244634.8000,0.7240,300025,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_03
GA-TS,2,242817.4000,0.7642,300026,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_03
GA-TS,3,244141.4118,0.7240,300018,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_03
GA-TS,4,230664.0000,0.7642,300032,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_03
GA-TS,5,248844.0000,0.7642,300016,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_03
GA-TS,6,240951.8000,0.7642,300058,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_03
GA-TS,7,237312.0000,0.7642,300077,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_03
GA-TS,8,250154.8000,0.7642,300027,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_03
GA-TS,9,245309.0000,0.7642,300033,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_03
GA-TS,10,246319.0000,0.7642,300035,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_03
GA-GA,1,311547.7000,0.7642,426618,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_03
GA-GA,2,276114.0000,0.7642,661912,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_03
GA-GA,3,325198.4000,0.7642,499255,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_03
GA-GA,4,362408.5000,0.7240,494043,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_03
GA-GA,5,295771.7000,0.7240,478753,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_03
GA-GA,6,287419.7000,0.7642,488158,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_03
GA-GA,7,305848.5000,0.7642,453302,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_03
GA-GA,8,318473.5000,0.7642,406151,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_03
GA-GA,9,325226.8000,0.7642,374108,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_03
GA-GA,10,325003.7000,0.8092,420996,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_03
GA-ACO,1,377435.7000,0.7240,805697,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_03
GA-ACO,2,386715.7000,0.7642,739847,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_03
GA-ACO,3,343099.7000,0.7240,615926,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_03
GA-ACO,4,367150.4000,0.7240,933309,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_03
GA-ACO,5,330593.5000,0.7240,871161,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_03
GA-ACO,6,405807.6000,0.7240,884492,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_03
GA-ACO,7,398263.5000,0.7240,882929,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_03
GA-ACO,8,362408.5000,0.7240,951608,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_03
GA-ACO,9,389963.7000,0.7642,1084134,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_03
GA-ACO,10,339178.5000,0.6878,639062,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_03
ALNS,1,189528.9000,0.0000,300190,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_03
ALNS,2,193161.6000,0.0000,300233,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_03
ALNS,3,186386.5000,0.0000,300329,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_03
ALNS,4,194097.0000,0.0000,300211,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_03
ALNS,5,193378.3000,0.0000,300011,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_03
ALNS,6,190501.7000,0.0000,300169,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_03
ALNS,7,192746.2000,0.0000,300001,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_03
ALNS,8,189254.0000,0.0000,300400,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_03
ALNS,9,191767.8000,0.0000,300253,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_03
ALNS,10,190601.1000,0.0000,300105,chapter-1/src/main/resources/Machine/machine_5,chapter-1/src/main/resources/PrintItem/printItem_80/printItem_80_03
