Algorithm,Cmax,AvgUtilization,TimeMs
GA-TS,244634.8000,0.7240,300025
GA-TS,242817.4000,0.7642,300026
GA-TS,244141.4118,0.7240,300018
GA-TS,230664.0000,0.7642,300032
GA-TS,248844.0000,0.7642,300016
GA-TS,240951.8000,0.7642,300058
GA-TS,237312.0000,0.7642,300077
GA-TS,250154.8000,0.7642,300027
GA-TS,245309.0000,0.7642,300033
GA-TS,246319.0000,0.7642,300035
GA-GA,311547.7000,0.7642,426618
GA-GA,276114.0000,0.7642,661912
GA-GA,325198.4000,0.7642,499255
GA-GA,362408.5000,0.7240,494043
GA-GA,295771.7000,0.7240,478753
GA-GA,287419.7000,0.7642,488158
GA-GA,305848.5000,0.7642,453302
GA-GA,318473.5000,0.7642,406151
GA-GA,325226.8000,0.7642,374108
GA-GA,325003.7000,0.8092,420996
GA-ACO,377435.7000,0.7240,805697
GA-ACO,386715.7000,0.7642,739847
GA-ACO,343099.7000,0.7240,615926
GA-ACO,367150.4000,0.7240,933309
GA-ACO,330593.5000,0.7240,871161
GA-ACO,405807.6000,0.7240,884492
GA-ACO,398263.5000,0.7240,882929
GA-ACO,362408.5000,0.7240,951608
GA-ACO,389963.7000,0.7642,1084134
GA-ACO,339178.5000,0.6878,639062
ALNS,189528.9000,0.0000,300190
ALNS,193161.6000,0.0000,300233
ALNS,186386.5000,0.0000,300329
ALNS,194097.0000,0.0000,300211
ALNS,193378.3000,0.0000,300011
ALNS,190501.7000,0.0000,300169
ALNS,192746.2000,0.0000,300001
ALNS,189254.0000,0.0000,300400
ALNS,191767.8000,0.0000,300253
ALNS,190601.1000,0.0000,300105
