Algorithm,AvgCmax,MinCmax,MaxCmax,StdDev,AvgUtilization,AvgTimeMs
GA-TS,243114.8212,230664.0000,250154.8000,5424.8779,0.7562,300034.70
GA-GA,313301.2500,276114.0000,362408.5000,22973.0977,0.7607,470329.60
GA-ACO,370061.6800,330593.5000,405807.6000,24711.2111,0.7284,840816.50
ALNS,191142.3100,186386.5000,194097.0000,2241.8943,0.0000,300190.20
