Pareto前沿解集
================================================================================

解的数量: 100

--------------------------------------------------------------------------------
序号       Cmax                 能耗(kWh)              装箱质量            批次数       
--------------------------------------------------------------------------------
1        1066908.48           10072.22             0.5346          14        
2        1066841.48           10076.05             0.5346          14        
3        1066841.48           10076.05             0.5346          14        
4        1066908.48           10072.22             0.5346          14        
5        1066841.48           10076.05             0.5346          14        
6        1066908.48           10072.22             0.5346          14        
7        1066841.48           10076.05             0.5346          14        
8        1066841.48           10076.05             0.5346          14        
9        1066908.48           10072.22             0.5346          14        
10       1066841.48           10076.05             0.5346          14        
11       1066908.48           10072.22             0.5346          14        
12       1066841.48           10076.05             0.5346          14        
13       1066908.48           10072.22             0.5346          14        
14       1066841.48           10076.05             0.5346          14        
15       1066908.48           10072.22             0.5346          14        
16       1066841.48           10076.05             0.5346          14        
17       1066908.48           10072.22             0.5346          14        
18       1066841.48           10076.05             0.5346          14        
19       1066908.48           10072.22             0.5346          14        
20       1066908.48           10072.22             0.5346          14        
21       1066908.48           10072.22             0.5346          14        
22       1066908.48           10072.22             0.5346          14        
23       1066908.48           10072.22             0.5346          14        
24       1066908.48           10072.22             0.5346          14        
25       1066908.48           10072.22             0.5346          14        
26       1066908.48           10072.22             0.5346          14        
27       1066908.48           10072.22             0.5346          14        
28       1066908.48           10072.22             0.5346          14        
29       1066908.48           10072.22             0.5346          14        
30       1066908.48           10072.22             0.5346          14        
31       1066908.48           10072.22             0.5346          14        
32       1066841.48           10076.05             0.5346          14        
33       1066908.48           10072.22             0.5346          14        
34       1066841.48           10076.05             0.5346          14        
35       1066908.48           10072.22             0.5346          14        
36       1066841.48           10076.05             0.5346          14        
37       1066908.48           10072.22             0.5346          14        
38       1066841.48           10076.05             0.5346          14        
39       1066841.48           10076.05             0.5346          14        
40       1066908.48           10072.22             0.5346          14        
41       1066841.48           10076.05             0.5346          14        
42       1066908.48           10072.22             0.5346          14        
43       1066908.48           10072.22             0.5346          14        
44       1066841.48           10076.05             0.5346          14        
45       1066908.48           10072.22             0.5346          14        
46       1066908.48           10072.22             0.5346          14        
47       1066908.48           10072.22             0.5346          14        
48       1066908.48           10072.22             0.5346          14        
49       1066908.48           10072.22             0.5346          14        
50       1066908.48           10072.22             0.5346          14        
51       1066908.48           10072.22             0.5346          14        
52       1066841.48           10076.05             0.5346          14        
53       1066908.48           10072.22             0.5346          14        
54       1066841.48           10076.05             0.5346          14        
55       1066908.48           10072.22             0.5346          14        
56       1066841.48           10076.05             0.5346          14        
57       1066908.48           10072.22             0.5346          14        
58       1066908.48           10072.22             0.5346          14        
59       1066908.48           10072.22             0.5346          14        
60       1066908.48           10072.22             0.5346          14        
61       1066841.48           10076.05             0.5346          14        
62       1066841.48           10076.05             0.5346          14        
63       1066908.48           10072.22             0.5346          14        
64       1066841.48           10076.05             0.5346          14        
65       1066908.48           10072.22             0.5346          14        
66       1066908.48           10072.22             0.5346          14        
67       1066841.48           10076.05             0.5346          14        
68       1066908.48           10072.22             0.5346          14        
69       1066908.48           10072.22             0.5346          14        
70       1066908.48           10072.22             0.5346          14        
71       1066841.48           10076.05             0.5346          14        
72       1066908.48           10072.22             0.5346          14        
73       1066841.48           10076.05             0.5346          14        
74       1066908.48           10072.22             0.5346          14        
75       1066908.48           10072.22             0.5346          14        
76       1066908.48           10072.22             0.5346          14        
77       1066908.48           10072.22             0.5346          14        
78       1066841.48           10076.05             0.5346          14        
79       1066908.48           10072.22             0.5346          14        
80       1066841.48           10076.05             0.5346          14        
81       1066841.48           10076.05             0.5346          14        
82       1066841.48           10076.05             0.5346          14        
83       1066908.48           10072.22             0.5346          14        
84       1066841.48           10076.05             0.5346          14        
85       1066841.48           10076.05             0.5346          14        
86       1066908.48           10072.22             0.5346          14        
87       1066908.48           10072.22             0.5346          14        
88       1066908.48           10072.22             0.5346          14        
89       1066841.48           10076.05             0.5346          14        
90       1066908.48           10072.22             0.5346          14        
91       1066841.48           10076.05             0.5346          14        
92       1066908.48           10072.22             0.5346          14        
93       1066908.48           10072.22             0.5346          14        
94       1066841.48           10076.05             0.5346          14        
95       1066908.48           10072.22             0.5346          14        
96       1066908.48           10072.22             0.5346          14        
97       1066908.48           10072.22             0.5346          14        
98       1066908.48           10072.22             0.5346          14        
99       1066908.48           10072.22             0.5346          14        
100      1066908.48           10072.22             0.5346          14        
--------------------------------------------------------------------------------

统计信息:
  Cmax范围: [1066841.48, 1066908.48]
  能耗范围: [10072.22, 10076.05] kWh
  Cmax改进: 0.01%
  能耗改进: 0.04%
