================================================================================
                          田口实验结果报告
================================================================================
算例名称: 随机密钥GA算法
实验次数: 第 9 次
实验时间: 2025-12-21 20:09:34

【参数配置】
GAParameters{
  popSize=200, pr=0.15, pc=0.90, pm=0.30
  maxStagnantStep=300000 (早停阈值), maxRunTime=3.0分钟
  localSearch: 启用 (maxIter=10, noImprove=3)
  heuristicInit: 启用 (ratio=0.80)
  candidates: N1N2=10, N3=5, N4=8, N5=6
}

========== 随机密钥遗传算法开始 ==========
问题规模: 50个零件, 3台打印机
种群大小: 200
交叉率: 0.9
变异率: 0.3
精英保留比例: 10.0%
终止条件: 3.0分钟 或 300000代无改进
==========================================

正在初始化种群...
初始种群最优解: Makespan = 70683.15
初始种群平均解: Makespan = 100670.18

Gen    1 | 最优: 70290.25 | 平均: 95770.97 | 改进: 392.91 | 停滞: 0/300000 | 耗时: 0.0分钟
Gen   50 | 最优: 63732.74 | 平均: 88036.16 | 改进: 6557.51 | 停滞: 13/300000 | 耗时: 0.0分钟
Gen  100 | 最优: 63036.91 | 平均: 89400.28 | 改进: 695.83 | 停滞: 34/300000 | 耗时: 0.0分钟
Gen  150 | 最优: 62710.18 | 平均: 89691.30 | 改进: 326.73 | 停滞: 43/300000 | 耗时: 0.1分钟
Gen  200 | 最优: 62710.18 | 平均: 91417.49 | 改进: 0.00 | 停滞: 93/300000 | 耗时: 0.1分钟
Gen  250 | 最优: 62710.18 | 平均: 89514.56 | 改进: 0.00 | 停滞: 143/300000 | 耗时: 0.1分钟
Gen  300 | 最优: 62710.18 | 平均: 89697.25 | 改进: 0.00 | 停滞: 193/300000 | 耗时: 0.1分钟
Gen  350 | 最优: 62710.18 | 平均: 89858.25 | 改进: 0.00 | 停滞: 243/300000 | 耗时: 0.1分钟
Gen  400 | 最优: 62710.18 | 平均: 91340.27 | 改进: 0.00 | 停滞: 293/300000 | 耗时: 0.2分钟
Gen  450 | 最优: 62710.18 | 平均: 89355.59 | 改进: 0.00 | 停滞: 343/300000 | 耗时: 0.2分钟
Gen  500 | 最优: 62338.73 | 平均: 90368.15 | 改进: 371.45 | 停滞: 27/300000 | 耗时: 0.2分钟
Gen  550 | 最优: 62338.73 | 平均: 90888.06 | 改进: 0.00 | 停滞: 77/300000 | 耗时: 0.2分钟
Gen  600 | 最优: 62338.73 | 平均: 89760.04 | 改进: 0.00 | 停滞: 127/300000 | 耗时: 0.2分钟
Gen  650 | 最优: 61977.18 | 平均: 89617.04 | 改进: 361.55 | 停滞: 36/300000 | 耗时: 0.2分钟
Gen  700 | 最优: 61977.18 | 平均: 90038.23 | 改进: 0.00 | 停滞: 86/300000 | 耗时: 0.3分钟
Gen  750 | 最优: 61977.18 | 平均: 89536.54 | 改进: 0.00 | 停滞: 136/300000 | 耗时: 0.3分钟
Gen  800 | 最优: 61164.74 | 平均: 90316.79 | 改进: 812.44 | 停滞: 8/300000 | 耗时: 0.3分钟
Gen  850 | 最优: 61164.74 | 平均: 88609.49 | 改进: 0.00 | 停滞: 58/300000 | 耗时: 0.3分钟
Gen  900 | 最优: 61164.74 | 平均: 90718.71 | 改进: 0.00 | 停滞: 108/300000 | 耗时: 0.3分钟
Gen  950 | 最优: 61164.74 | 平均: 89236.78 | 改进: 0.00 | 停滞: 158/300000 | 耗时: 0.4分钟
Gen 1000 | 最优: 61164.74 | 平均: 90168.73 | 改进: 0.00 | 停滞: 208/300000 | 耗时: 0.4分钟
Gen 1050 | 最优: 61164.74 | 平均: 89793.91 | 改进: 0.00 | 停滞: 258/300000 | 耗时: 0.4分钟
Gen 1100 | 最优: 61164.74 | 平均: 89896.05 | 改进: 0.00 | 停滞: 308/300000 | 耗时: 0.4分钟
Gen 1150 | 最优: 61164.74 | 平均: 90488.41 | 改进: 0.00 | 停滞: 358/300000 | 耗时: 0.4分钟
Gen 1200 | 最优: 61164.74 | 平均: 90595.23 | 改进: 0.00 | 停滞: 408/300000 | 耗时: 0.4分钟
Gen 1250 | 最优: 61164.74 | 平均: 89839.96 | 改进: 0.00 | 停滞: 458/300000 | 耗时: 0.5分钟
Gen 1300 | 最优: 61164.74 | 平均: 89616.30 | 改进: 0.00 | 停滞: 508/300000 | 耗时: 0.5分钟
Gen 1350 | 最优: 61164.74 | 平均: 89832.33 | 改进: 0.00 | 停滞: 558/300000 | 耗时: 0.5分钟
Gen 1400 | 最优: 61164.74 | 平均: 89425.61 | 改进: 0.00 | 停滞: 608/300000 | 耗时: 0.5分钟
Gen 1450 | 最优: 61114.73 | 平均: 89282.10 | 改进: 50.01 | 停滞: 45/300000 | 耗时: 0.5分钟
Gen 1500 | 最优: 61114.73 | 平均: 89303.80 | 改进: 0.00 | 停滞: 95/300000 | 耗时: 0.6分钟
Gen 1550 | 最优: 61114.73 | 平均: 88443.89 | 改进: 0.00 | 停滞: 145/300000 | 耗时: 0.6分钟
Gen 1600 | 最优: 61114.73 | 平均: 89212.46 | 改进: 0.00 | 停滞: 195/300000 | 耗时: 0.6分钟
Gen 1650 | 最优: 61114.73 | 平均: 89907.93 | 改进: 0.00 | 停滞: 245/300000 | 耗时: 0.6分钟
Gen 1700 | 最优: 61114.73 | 平均: 89159.61 | 改进: 0.00 | 停滞: 295/300000 | 耗时: 0.7分钟
Gen 1750 | 最优: 61114.73 | 平均: 88917.36 | 改进: 0.00 | 停滞: 345/300000 | 耗时: 0.7分钟
Gen 1800 | 最优: 61114.73 | 平均: 88508.69 | 改进: 0.00 | 停滞: 395/300000 | 耗时: 0.7分钟
Gen 1850 | 最优: 61114.73 | 平均: 88912.32 | 改进: 0.00 | 停滞: 445/300000 | 耗时: 0.7分钟
Gen 1900 | 最优: 61114.73 | 平均: 88289.86 | 改进: 0.00 | 停滞: 495/300000 | 耗时: 0.7分钟
Gen 1950 | 最优: 61114.73 | 平均: 90224.44 | 改进: 0.00 | 停滞: 545/300000 | 耗时: 0.8分钟
Gen 2000 | 最优: 61114.73 | 平均: 87916.74 | 改进: 0.00 | 停滞: 595/300000 | 耗时: 0.8分钟
Gen 2050 | 最优: 61114.73 | 平均: 89533.99 | 改进: 0.00 | 停滞: 645/300000 | 耗时: 0.8分钟
Gen 2100 | 最优: 61114.73 | 平均: 87983.48 | 改进: 0.00 | 停滞: 695/300000 | 耗时: 0.8分钟
Gen 2150 | 最优: 61114.73 | 平均: 87810.73 | 改进: 0.00 | 停滞: 745/300000 | 耗时: 0.8分钟
Gen 2200 | 最优: 61114.73 | 平均: 87792.66 | 改进: 0.00 | 停滞: 795/300000 | 耗时: 0.9分钟
Gen 2250 | 最优: 61114.73 | 平均: 88032.34 | 改进: 0.00 | 停滞: 845/300000 | 耗时: 0.9分钟
Gen 2300 | 最优: 61114.73 | 平均: 87819.83 | 改进: 0.00 | 停滞: 895/300000 | 耗时: 0.9分钟
Gen 2350 | 最优: 61114.73 | 平均: 87905.05 | 改进: 0.00 | 停滞: 945/300000 | 耗时: 0.9分钟
Gen 2400 | 最优: 61114.73 | 平均: 89994.23 | 改进: 0.00 | 停滞: 995/300000 | 耗时: 0.9分钟
Gen 2450 | 最优: 61114.73 | 平均: 87250.26 | 改进: 0.00 | 停滞: 1045/300000 | 耗时: 1.0分钟
Gen 2500 | 最优: 61114.73 | 平均: 88110.69 | 改进: 0.00 | 停滞: 1095/300000 | 耗时: 1.0分钟
Gen 2550 | 最优: 61114.73 | 平均: 89122.08 | 改进: 0.00 | 停滞: 1145/300000 | 耗时: 1.0分钟
Gen 2600 | 最优: 61114.73 | 平均: 87717.06 | 改进: 0.00 | 停滞: 1195/300000 | 耗时: 1.0分钟
Gen 2650 | 最优: 61114.73 | 平均: 86993.69 | 改进: 0.00 | 停滞: 1245/300000 | 耗时: 1.0分钟
Gen 2700 | 最优: 60840.73 | 平均: 88778.65 | 改进: 274.00 | 停滞: 3/300000 | 耗时: 1.1分钟
Gen 2750 | 最优: 60840.73 | 平均: 87892.97 | 改进: 0.00 | 停滞: 53/300000 | 耗时: 1.1分钟
Gen 2800 | 最优: 60840.73 | 平均: 88108.33 | 改进: 0.00 | 停滞: 103/300000 | 耗时: 1.1分钟
Gen 2850 | 最优: 59879.17 | 平均: 89250.36 | 改进: 961.56 | 停滞: 14/300000 | 耗时: 1.1分钟
Gen 2900 | 最优: 59879.17 | 平均: 86473.72 | 改进: 0.00 | 停滞: 64/300000 | 耗时: 1.2分钟
Gen 2950 | 最优: 59879.17 | 平均: 88482.94 | 改进: 0.00 | 停滞: 114/300000 | 耗时: 1.2分钟
Gen 3000 | 最优: 59879.17 | 平均: 87213.42 | 改进: 0.00 | 停滞: 164/300000 | 耗时: 1.2分钟
Gen 3050 | 最优: 59879.17 | 平均: 87676.87 | 改进: 0.00 | 停滞: 214/300000 | 耗时: 1.2分钟
Gen 3100 | 最优: 59879.17 | 平均: 87338.18 | 改进: 0.00 | 停滞: 264/300000 | 耗时: 1.2分钟
Gen 3150 | 最优: 59879.17 | 平均: 88682.66 | 改进: 0.00 | 停滞: 314/300000 | 耗时: 1.3分钟
Gen 3200 | 最优: 59879.17 | 平均: 87188.79 | 改进: 0.00 | 停滞: 364/300000 | 耗时: 1.3分钟
Gen 3250 | 最优: 59879.17 | 平均: 87591.95 | 改进: 0.00 | 停滞: 414/300000 | 耗时: 1.3分钟
Gen 3300 | 最优: 59879.17 | 平均: 87901.18 | 改进: 0.00 | 停滞: 464/300000 | 耗时: 1.3分钟
Gen 3350 | 最优: 59879.17 | 平均: 88522.13 | 改进: 0.00 | 停滞: 514/300000 | 耗时: 1.3分钟
Gen 3400 | 最优: 59710.17 | 平均: 88109.09 | 改进: 169.00 | 停滞: 47/300000 | 耗时: 1.4分钟
Gen 3450 | 最优: 59710.17 | 平均: 89633.39 | 改进: 0.00 | 停滞: 97/300000 | 耗时: 1.4分钟
Gen 3500 | 最优: 59710.17 | 平均: 88877.49 | 改进: 0.00 | 停滞: 147/300000 | 耗时: 1.4分钟
Gen 3550 | 最优: 59710.17 | 平均: 88595.03 | 改进: 0.00 | 停滞: 197/300000 | 耗时: 1.4分钟
Gen 3600 | 最优: 59710.17 | 平均: 89158.73 | 改进: 0.00 | 停滞: 247/300000 | 耗时: 1.4分钟
Gen 3650 | 最优: 59710.17 | 平均: 88607.06 | 改进: 0.00 | 停滞: 297/300000 | 耗时: 1.5分钟
Gen 3700 | 最优: 59710.17 | 平均: 87288.56 | 改进: 0.00 | 停滞: 347/300000 | 耗时: 1.5分钟
Gen 3750 | 最优: 59710.17 | 平均: 88275.55 | 改进: 0.00 | 停滞: 397/300000 | 耗时: 1.5分钟
Gen 3800 | 最优: 59710.17 | 平均: 87701.43 | 改进: 0.00 | 停滞: 447/300000 | 耗时: 1.5分钟
Gen 3850 | 最优: 59710.17 | 平均: 87806.83 | 改进: 0.00 | 停滞: 497/300000 | 耗时: 1.5分钟
Gen 3900 | 最优: 59710.17 | 平均: 88815.64 | 改进: 0.00 | 停滞: 547/300000 | 耗时: 1.6分钟
Gen 3950 | 最优: 59590.73 | 平均: 87588.04 | 改进: 119.44 | 停滞: 46/300000 | 耗时: 1.6分钟
Gen 4000 | 最优: 59590.73 | 平均: 88645.29 | 改进: 0.00 | 停滞: 96/300000 | 耗时: 1.6分钟
Gen 4050 | 最优: 59590.73 | 平均: 87938.11 | 改进: 0.00 | 停滞: 146/300000 | 耗时: 1.6分钟
Gen 4100 | 最优: 59590.73 | 平均: 88930.76 | 改进: 0.00 | 停滞: 196/300000 | 耗时: 1.7分钟
Gen 4150 | 最优: 59590.73 | 平均: 88204.59 | 改进: 0.00 | 停滞: 246/300000 | 耗时: 1.7分钟
Gen 4200 | 最优: 59590.73 | 平均: 88624.75 | 改进: 0.00 | 停滞: 296/300000 | 耗时: 1.7分钟
Gen 4250 | 最优: 59590.73 | 平均: 88759.94 | 改进: 0.00 | 停滞: 346/300000 | 耗时: 1.7分钟
Gen 4300 | 最优: 59590.73 | 平均: 88232.99 | 改进: 0.00 | 停滞: 396/300000 | 耗时: 1.7分钟
Gen 4350 | 最优: 59590.73 | 平均: 88063.74 | 改进: 0.00 | 停滞: 446/300000 | 耗时: 1.8分钟
Gen 4400 | 最优: 59590.73 | 平均: 88488.49 | 改进: 0.00 | 停滞: 496/300000 | 耗时: 1.8分钟
Gen 4450 | 最优: 59590.73 | 平均: 88361.55 | 改进: 0.00 | 停滞: 546/300000 | 耗时: 1.8分钟
Gen 4500 | 最优: 59590.73 | 平均: 87538.48 | 改进: 0.00 | 停滞: 596/300000 | 耗时: 1.8分钟
Gen 4550 | 最优: 59590.73 | 平均: 89187.55 | 改进: 0.00 | 停滞: 646/300000 | 耗时: 1.8分钟
Gen 4600 | 最优: 59590.73 | 平均: 88506.68 | 改进: 0.00 | 停滞: 696/300000 | 耗时: 1.9分钟
Gen 4650 | 最优: 59590.73 | 平均: 88342.51 | 改进: 0.00 | 停滞: 746/300000 | 耗时: 1.9分钟
Gen 4700 | 最优: 59590.73 | 平均: 88767.51 | 改进: 0.00 | 停滞: 796/300000 | 耗时: 1.9分钟
Gen 4750 | 最优: 59590.73 | 平均: 86713.26 | 改进: 0.00 | 停滞: 846/300000 | 耗时: 1.9分钟
