================================================================================
                          田口实验结果报告
================================================================================
算例名称: 随机密钥GA算法
实验次数: 第 6 次
实验时间: 2025-12-21 20:00:29

【参数配置】
GAParameters{
  popSize=200, pr=0.15, pc=0.90, pm=0.30
  maxStagnantStep=300000 (早停阈值), maxRunTime=3.0分钟
  localSearch: 启用 (maxIter=10, noImprove=3)
  heuristicInit: 启用 (ratio=0.80)
  candidates: N1N2=10, N3=5, N4=8, N5=6
}

========== 随机密钥遗传算法开始 ==========
问题规模: 50个零件, 2台打印机
种群大小: 200
交叉率: 0.9
变异率: 0.3
精英保留比例: 10.0%
终止条件: 3.0分钟 或 300000代无改进
==========================================

正在初始化种群...
初始种群最优解: Makespan = 78554.29
初始种群平均解: Makespan = 106548.56

Gen    1 | 最优: 78554.29 | 平均: 100287.59 | 改进: 0.00 | 停滞: 1/300000 | 耗时: 0.0分钟
Gen   50 | 最优: 74966.47 | 平均: 94418.78 | 改进: 3587.82 | 停滞: 8/300000 | 耗时: 0.0分钟
Gen  100 | 最优: 73363.49 | 平均: 94246.51 | 改进: 1602.97 | 停滞: 26/300000 | 耗时: 0.0分钟
Gen  150 | 最优: 73363.49 | 平均: 94389.70 | 改进: 0.00 | 停滞: 76/300000 | 耗时: 0.1分钟
Gen  200 | 最优: 73363.49 | 平均: 95552.59 | 改进: 0.00 | 停滞: 126/300000 | 耗时: 0.1分钟
Gen  250 | 最优: 72905.26 | 平均: 95636.77 | 改进: 458.23 | 停滞: 41/300000 | 耗时: 0.1分钟
Gen  300 | 最优: 72905.26 | 平均: 94902.57 | 改进: 0.00 | 停滞: 91/300000 | 耗时: 0.1分钟
Gen  350 | 最优: 72905.26 | 平均: 93250.74 | 改进: 0.00 | 停滞: 141/300000 | 耗时: 0.1分钟
Gen  400 | 最优: 72377.00 | 平均: 94822.40 | 改进: 528.26 | 停滞: 17/300000 | 耗时: 0.2分钟
Gen  450 | 最优: 72377.00 | 平均: 94281.01 | 改进: 0.00 | 停滞: 67/300000 | 耗时: 0.2分钟
Gen  500 | 最优: 72377.00 | 平均: 94262.62 | 改进: 0.00 | 停滞: 117/300000 | 耗时: 0.2分钟
Gen  550 | 最优: 72377.00 | 平均: 93499.26 | 改进: 0.00 | 停滞: 167/300000 | 耗时: 0.2分钟
Gen  600 | 最优: 72377.00 | 平均: 91791.98 | 改进: 0.00 | 停滞: 217/300000 | 耗时: 0.2分钟
Gen  650 | 最优: 71978.26 | 平均: 94113.04 | 改进: 398.74 | 停滞: 13/300000 | 耗时: 0.2分钟
Gen  700 | 最优: 71978.26 | 平均: 92995.05 | 改进: 0.00 | 停滞: 63/300000 | 耗时: 0.3分钟
Gen  750 | 最优: 71978.26 | 平均: 93641.94 | 改进: 0.00 | 停滞: 113/300000 | 耗时: 0.3分钟
Gen  800 | 最优: 71978.26 | 平均: 94442.19 | 改进: 0.00 | 停滞: 163/300000 | 耗时: 0.3分钟
Gen  850 | 最优: 70960.00 | 平均: 93418.84 | 改进: 1018.26 | 停滞: 33/300000 | 耗时: 0.3分钟
Gen  900 | 最优: 70960.00 | 平均: 92883.37 | 改进: 0.00 | 停滞: 83/300000 | 耗时: 0.4分钟
Gen  950 | 最优: 70960.00 | 平均: 95293.45 | 改进: 0.00 | 停滞: 133/300000 | 耗时: 0.4分钟
Gen 1000 | 最优: 70960.00 | 平均: 94853.22 | 改进: 0.00 | 停滞: 183/300000 | 耗时: 0.4分钟
Gen 1050 | 最优: 70960.00 | 平均: 93464.31 | 改进: 0.00 | 停滞: 233/300000 | 耗时: 0.4分钟
Gen 1100 | 最优: 70960.00 | 平均: 93311.46 | 改进: 0.00 | 停滞: 283/300000 | 耗时: 0.4分钟
Gen 1150 | 最优: 70960.00 | 平均: 94541.42 | 改进: 0.00 | 停滞: 333/300000 | 耗时: 0.4分钟
Gen 1200 | 最优: 70960.00 | 平均: 95335.41 | 改进: 0.00 | 停滞: 383/300000 | 耗时: 0.5分钟
Gen 1250 | 最优: 70960.00 | 平均: 94881.63 | 改进: 0.00 | 停滞: 433/300000 | 耗时: 0.5分钟
Gen 1300 | 最优: 70960.00 | 平均: 93898.63 | 改进: 0.00 | 停滞: 483/300000 | 耗时: 0.5分钟
Gen 1350 | 最优: 70960.00 | 平均: 94844.29 | 改进: 0.00 | 停滞: 533/300000 | 耗时: 0.5分钟
Gen 1400 | 最优: 70960.00 | 平均: 95384.85 | 改进: 0.00 | 停滞: 583/300000 | 耗时: 0.5分钟
Gen 1450 | 最优: 70960.00 | 平均: 95110.27 | 改进: 0.00 | 停滞: 633/300000 | 耗时: 0.5分钟
Gen 1500 | 最优: 70960.00 | 平均: 94781.80 | 改进: 0.00 | 停滞: 683/300000 | 耗时: 0.6分钟
Gen 1550 | 最优: 70960.00 | 平均: 94139.22 | 改进: 0.00 | 停滞: 733/300000 | 耗时: 0.6分钟
Gen 1600 | 最优: 70960.00 | 平均: 91932.32 | 改进: 0.00 | 停滞: 783/300000 | 耗时: 0.6分钟
Gen 1650 | 最优: 70960.00 | 平均: 95271.84 | 改进: 0.00 | 停滞: 833/300000 | 耗时: 0.6分钟
Gen 1700 | 最优: 70960.00 | 平均: 94184.55 | 改进: 0.00 | 停滞: 883/300000 | 耗时: 0.6分钟
Gen 1750 | 最优: 70960.00 | 平均: 96093.04 | 改进: 0.00 | 停滞: 933/300000 | 耗时: 0.6分钟
Gen 1800 | 最优: 70960.00 | 平均: 94973.85 | 改进: 0.00 | 停滞: 983/300000 | 耗时: 0.7分钟
Gen 1850 | 最优: 70960.00 | 平均: 95004.48 | 改进: 0.00 | 停滞: 1033/300000 | 耗时: 0.7分钟
Gen 1900 | 最优: 70960.00 | 平均: 95588.49 | 改进: 0.00 | 停滞: 1083/300000 | 耗时: 0.7分钟
Gen 1950 | 最优: 70960.00 | 平均: 94760.52 | 改进: 0.00 | 停滞: 1133/300000 | 耗时: 0.7分钟
Gen 2000 | 最优: 70960.00 | 平均: 95153.33 | 改进: 0.00 | 停滞: 1183/300000 | 耗时: 0.7分钟
Gen 2050 | 最优: 70960.00 | 平均: 93937.63 | 改进: 0.00 | 停滞: 1233/300000 | 耗时: 0.7分钟
Gen 2100 | 最优: 70960.00 | 平均: 93965.44 | 改进: 0.00 | 停滞: 1283/300000 | 耗时: 0.8分钟
Gen 2150 | 最优: 70960.00 | 平均: 94065.39 | 改进: 0.00 | 停滞: 1333/300000 | 耗时: 0.8分钟
