Pareto前沿解集
================================================================================

解的数量: 100

--------------------------------------------------------------------------------
序号       Cmax                 能耗(kWh)              装箱质量            批次数       
--------------------------------------------------------------------------------
1        2857041.37           22086.70             0.4377          15        
2        2857041.37           22086.70             0.4377          15        
3        2858202.37           22011.97             0.4103          15        
4        2858202.37           22011.97             0.4103          15        
5        2857799.37           22085.80             0.4377          15        
6        2857799.37           22085.80             0.4377          15        
7        2857041.37           22086.70             0.4377          15        
8        2857799.37           22085.80             0.4377          15        
9        2857041.37           22086.70             0.4377          15        
10       2857799.37           22085.80             0.4377          15        
11       2857041.37           22086.70             0.4377          15        
12       2857799.37           22085.80             0.4377          15        
13       2857041.37           22086.70             0.4377          15        
14       2857799.37           22085.80             0.4377          15        
15       2857799.37           22085.80             0.4377          15        
16       2857799.37           22085.80             0.4377          15        
17       2857799.37           22085.80             0.4377          15        
18       2857799.37           22085.80             0.4377          15        
19       2857799.37           22085.80             0.4377          15        
20       2857041.37           22086.70             0.4377          15        
21       2857041.37           22086.70             0.4377          15        
22       2857799.37           22085.80             0.4377          15        
23       2857799.37           22085.80             0.4377          15        
24       2857799.37           22085.80             0.4377          15        
25       2857799.37           22085.80             0.4377          15        
26       2857041.37           22086.70             0.4377          15        
27       2857799.37           22085.80             0.4377          15        
28       2857799.37           22085.80             0.4377          15        
29       2857799.37           22085.80             0.4377          15        
30       2857799.37           22085.80             0.4377          15        
31       2857799.37           22085.80             0.4377          15        
32       2857799.37           22085.80             0.4377          15        
33       2857799.37           22085.80             0.4377          15        
34       2857799.37           22085.80             0.4377          15        
35       2857799.37           22085.80             0.4377          15        
36       2857799.37           22085.80             0.4377          15        
37       2857799.37           22085.80             0.4377          15        
38       2857799.37           22085.80             0.4377          15        
39       2857799.37           22085.80             0.4377          15        
40       2857799.37           22085.80             0.4377          15        
41       2857799.37           22085.80             0.4377          15        
42       2857799.37           22085.80             0.4377          15        
43       2857799.37           22085.80             0.4377          15        
44       2857799.37           22085.80             0.4377          15        
45       2857799.37           22085.80             0.4377          15        
46       2857799.37           22085.80             0.4377          15        
47       2857799.37           22085.80             0.4377          15        
48       2857799.37           22085.80             0.4377          15        
49       2857799.37           22085.80             0.4377          15        
50       2857799.37           22085.80             0.4377          15        
51       2857799.37           22085.80             0.4377          15        
52       2857799.37           22085.80             0.4377          15        
53       2857799.37           22085.80             0.4377          15        
54       2857799.37           22085.80             0.4377          15        
55       2857799.37           22085.80             0.4377          15        
56       2857799.37           22085.80             0.4377          15        
57       2857799.37           22085.80             0.4377          15        
58       2857799.37           22085.80             0.4377          15        
59       2857799.37           22085.80             0.4377          15        
60       2857799.37           22085.80             0.4377          15        
61       2857799.37           22085.80             0.4377          15        
62       2857799.37           22085.80             0.4377          15        
63       2857799.37           22085.80             0.4377          15        
64       2857799.37           22085.80             0.4377          15        
65       2857799.37           22085.80             0.4377          15        
66       2857799.37           22085.80             0.4377          15        
67       2857799.37           22085.80             0.4377          15        
68       2857799.37           22085.80             0.4377          15        
69       2857799.37           22085.80             0.4377          15        
70       2857799.37           22085.80             0.4377          15        
71       2857799.37           22085.80             0.4377          15        
72       2857799.37           22085.80             0.4377          15        
73       2857799.37           22085.80             0.4377          15        
74       2857799.37           22085.80             0.4377          15        
75       2857799.37           22085.80             0.4377          15        
76       2857799.37           22085.80             0.4377          15        
77       2857799.37           22085.80             0.4377          15        
78       2857799.37           22085.80             0.4377          15        
79       2857799.37           22085.80             0.4377          15        
80       2857799.37           22085.80             0.4377          15        
81       2857799.37           22085.80             0.4377          15        
82       2857799.37           22085.80             0.4377          15        
83       2857799.37           22085.80             0.4377          15        
84       2857799.37           22085.80             0.4377          15        
85       2857799.37           22085.80             0.4377          15        
86       2857799.37           22085.80             0.4377          15        
87       2857799.37           22085.80             0.4377          15        
88       2857799.37           22085.80             0.4377          15        
89       2857799.37           22085.80             0.4377          15        
90       2857799.37           22085.80             0.4377          15        
91       2857041.37           22086.70             0.4377          15        
92       2857041.37           22086.70             0.4377          15        
93       2857799.37           22085.80             0.4377          15        
94       2857799.37           22085.80             0.4377          15        
95       2857799.37           22085.80             0.4377          15        
96       2857799.37           22085.80             0.4377          15        
97       2857799.37           22085.80             0.4377          15        
98       2857799.37           22085.80             0.4377          15        
99       2857799.37           22085.80             0.4377          15        
100      2857799.37           22085.80             0.4377          15        
--------------------------------------------------------------------------------

统计信息:
  Cmax范围: [2857041.37, 2858202.37]
  能耗范围: [22011.97, 22086.70] kWh
  Cmax改进: 0.04%
  能耗改进: 0.34%
