Algorithm,Run,HV,IGD,RunTime
NSGAII,1,0.86337655,0.09036536,300.01
NSGAII,2,1.00490941,0.03313238,300.01
NSGAII,3,1.06576792,0.01420983,300.02
NSGAII,4,1.06379317,0.02208189,300.02
NSGAII,5,0.88018625,0.08625860,300.02
NSGAII,6,1.04159780,0.06503164,300.02
NSGAII,7,0.99906394,0.09922767,300.01
NSGAII,8,1.05207724,0.07472897,300.03
NSGAII,9,1.06310405,0.02072829,300.01
NSGAII,10,0.87293814,0.12710272,300.02
NSGAII-Basic,1,0.41267267,0.61586551,300.00
NSGAII-Basic,2,0.54272163,0.61221781,300.01
NSGAII-Basic,3,0.54817197,0.58592462,300.00
NSGAII-Basic,4,0.42176797,0.54066377,300.01
NSGAII-Basic,5,0.41436673,0.61811376,300.01
NSGAII-Basic,6,0.52950509,0.63426558,300.01
NSGAII-Basic,7,0.54926260,0.58422562,300.01
NSGAII-Basic,8,0.44044949,0.52676100,300.01
NSGAII-Basic,9,0.55228829,0.58235149,300.00
NSGAII-Basic,10,0.41674457,0.61192776,300.00
MOEAD,1,0.20301970,0.71796085,300.08
MOEAD,2,0.39444798,0.56076789,300.08
MOEAD,3,0.52507211,0.61276668,300.10
MOEAD,4,0.40031622,0.64674367,300.05
MOEAD,5,0.40685423,0.61148795,300.02
MOEAD,6,0.19967805,0.73319453,300.02
MOEAD,7,0.27057402,0.63246983,300.05
MOEAD,8,0.33499552,0.62012633,300.02
MOEAD,9,0.20904822,0.72304864,300.11
MOEAD,10,0.21377200,0.71918741,300.11
MOGWO,1,0.60749536,0.21700782,300.10
MOGWO,2,0.80728154,0.19041827,300.15
MOGWO,3,0.47559715,0.31711654,300.02
MOGWO,4,0.16713086,0.57731786,300.17
MOGWO,5,0.31988144,0.42467318,300.15
MOGWO,6,0.61036427,0.20648968,300.13
MOGWO,7,0.31625241,0.42576620,300.15
MOGWO,8,0.68159901,0.20791686,300.08
MOGWO,9,0.29199965,0.44362395,300.13
MOGWO,10,0.68827759,0.27359146,300.19
SPEA2,1,0.54874926,0.57943208,300.03
SPEA2,2,0.27925071,0.66146830,300.01
SPEA2,3,0.40447834,0.61517351,300.05
SPEA2,4,0.53456240,0.58693943,300.04
SPEA2,5,0.53477374,0.63142637,300.08
SPEA2,6,0.44786408,0.52452258,300.02
SPEA2,7,0.38543468,0.55812517,300.03
SPEA2,8,0.42987202,0.53641210,300.05
SPEA2,9,0.41090931,0.61996669,300.06
SPEA2,10,0.54144010,0.58441473,300.04
