Algorithm,Run,HV,IGD,RunTime
NSGAII,1,0.44589841,0.48899888,600.72
NSGAII,2,0.20208062,0.38381446,600.13
NSGAII,3,0.27664464,0.24020439,600.09
NSGAII,4,0.25164852,0.29773943,600.95
NSGAII,5,0.25937543,0.30437390,600.40
NSGAII,6,0.18960560,0.35086957,601.06
NSGAII,7,0.23968738,0.38269110,600.90
NSGAII,8,0.22441163,0.48939997,600.41
NSGAII,9,0.33600389,0.41000191,600.09
NSGAII,10,0.13836192,0.35523180,600.10
NSGAII-Basic,1,0.28404866,0.32786561,300.05
NSGAII-Basic,2,0.29647136,0.31388440,300.08
NSGAII-Basic,3,0.28104165,0.33580874,300.04
NSGAII-Basic,4,0.31656104,0.24872997,300.02
NSGAII-Basic,5,0.25227085,0.14609279,300.01
NSGAII-Basic,6,0.32553447,0.18449402,300.06
NSGAII-Basic,7,0.12108497,0.08130766,300.04
NSGAII-Basic,8,0.28157145,0.19846655,300.04
NSGAII-Basic,9,0.15367833,0.27569743,300.06
NSGAII-Basic,10,0.06763337,0.00000000,300.03
MOEAD,1,0.23712004,0.71480549,300.02
MOEAD,2,0.20193864,0.69963165,300.09
MOEAD,3,0.23037224,0.69085033,300.12
MOEAD,4,0.12303290,0.60816535,300.08
MOEAD,5,0.32656955,0.74283221,300.09
MOEAD,6,0.25768732,0.77181274,300.04
MOEAD,7,0.28440097,0.72647737,300.02
MOEAD,8,0.22290444,0.88856901,300.06
MOEAD,9,0.16040581,0.82088165,300.10
MOEAD,10,0.27801237,0.48555683,300.10
MOGWO,1,0.33751336,0.79397000,300.02
MOGWO,2,0.25054125,0.76849970,300.03
MOGWO,3,0.34849866,0.86415174,300.01
MOGWO,4,0.27731258,0.90732765,300.01
MOGWO,5,0.31393103,0.80449885,300.04
MOGWO,6,0.10883930,1.08989506,300.05
MOGWO,7,0.17916941,1.05127825,300.04
MOGWO,8,0.29281423,0.85351703,300.07
MOGWO,9,0.34571853,0.89293093,300.05
MOGWO,10,0.18869616,1.09653417,300.05
SPEA2,1,0.21317640,0.29402322,300.09
SPEA2,2,0.33980895,0.46066786,300.15
SPEA2,3,0.12892137,0.47433410,300.08
SPEA2,4,0.20298156,0.38952011,300.05
SPEA2,5,0.16941576,0.33141238,300.03
SPEA2,6,0.13167733,0.18914665,300.06
SPEA2,7,0.12958187,0.28473180,300.15
SPEA2,8,0.36294064,0.43716399,300.05
SPEA2,9,0.18516963,0.34696205,300.02
SPEA2,10,0.23751405,0.48821906,300.14
