Algorithm,AvgCmax,MinCmax,MaxCmax,StdDev,AvgUtilization,AvgTimeMs
GA-TS,92469.0000,92469.0000,92469.0000,0.0000,0.6244,300002.70
GA-GA,92469.0000,92469.0000,92469.0000,0.0000,0.6244,312482.90
GA-ACO,92469.0000,92469.0000,92469.0000,0.0000,0.6244,323576.80
ALNS,92469.0000,92469.0000,92469.0000,0.0000,0.0000,300076.80
