Algorithm,Cmax,AvgUtilization,TimeMs
GA-TS,92469.0000,0.6244,300002
GA-TS,92469.0000,0.6244,300002
GA-TS,92469.0000,0.6244,300003
GA-TS,92469.0000,0.6244,300002
GA-TS,92469.0000,0.6244,300001
GA-TS,92469.0000,0.6244,300001
GA-TS,92469.0000,0.6244,300006
GA-TS,92469.0000,0.6244,300003
GA-TS,92469.0000,0.6244,300004
GA-TS,92469.0000,0.6244,300003
GA-GA,92469.0000,0.6244,315789
GA-GA,92469.0000,0.6244,318836
GA-GA,92469.0000,0.6244,320044
GA-GA,92469.0000,0.6244,308894
GA-GA,92469.0000,0.6244,311398
GA-GA,92469.0000,0.6244,315690
GA-GA,92469.0000,0.6244,308002
GA-GA,92469.0000,0.6244,305903
GA-GA,92469.0000,0.6244,308641
GA-GA,92469.0000,0.6244,311632
GA-ACO,92469.0000,0.6244,314726
GA-ACO,92469.0000,0.6244,326932
GA-ACO,92469.0000,0.6244,310497
GA-ACO,92469.0000,0.6244,330010
GA-ACO,92469.0000,0.6244,337255
GA-ACO,92469.0000,0.6244,324805
GA-ACO,92469.0000,0.6244,319657
GA-ACO,92469.0000,0.6244,326236
GA-ACO,92469.0000,0.6244,320602
GA-ACO,92469.0000,0.6244,325048
ALNS,92469.0000,0.0000,300000
ALNS,92469.0000,0.0000,300001
ALNS,92469.0000,0.0000,300767
ALNS,92469.0000,0.0000,300000
ALNS,92469.0000,0.0000,300000
ALNS,92469.0000,0.0000,300000
ALNS,92469.0000,0.0000,300000
ALNS,92469.0000,0.0000,300000
ALNS,92469.0000,0.0000,300000
ALNS,92469.0000,0.0000,300000
