ConfigName,Cmax,AvgUtilization,TimeMs
完整算法,58417.0000,0.8258,300065
完整算法,71954.2500,0.5505,300067
完整算法,58417.0000,0.8258,300009
完整算法,58417.0000,0.8258,300008
完整算法,76906.5000,0.5505,1705247
完整算法,58417.0000,0.8258,300015
完整算法,58417.0000,0.8258,300025
完整算法,58417.0000,0.8258,300024
随机初始化,60410.2500,0.8258,300022
随机初始化,71954.2500,0.5505,300027
随机初始化,58417.0000,0.8258,300006
随机初始化,58417.0000,0.8258,300008
随机初始化,76906.5000,0.5505,612430
随机初始化,58417.0000,0.8258,300007
随机初始化,58417.0000,0.8258,300005
随机初始化,58417.0000,0.8258,300008
随机初始化,58417.0000,0.8258,300005
简化变异,58417.0000,0.8258,300064
简化变异,58417.0000,0.8258,300066
简化变异,58417.0000,0.8258,300011
简化变异,76906.5000,0.5505,1705243
简化变异,58417.0000,0.8258,300018
简化变异,58417.0000,0.8258,303117
简化变异,58417.0000,0.8258,300008
简化变异,60410.2500,0.8258,300984
无禁忌搜索,71954.2500,0.5505,300063
无禁忌搜索,58417.0000,0.8258,300066
无禁忌搜索,58417.0000,0.8258,300013
无禁忌搜索,58417.0000,0.8258,1705307
无禁忌搜索,79546.0000,0.5505,1705237
无禁忌搜索,58417.0000,0.8258,300007
无禁忌搜索,58417.0000,0.8258,302640
无禁忌搜索,58417.0000,0.8258,301002
简化评分,71954.2500,0.5505,300064
简化评分,71954.2500,0.5505,300009
简化评分,58417.0000,0.8258,300004
简化评分,76906.5000,0.5505,1705295
简化评分,58417.0000,0.8258,300002
简化评分,58417.0000,0.8258,300012
简化评分,58417.0000,0.8258,300009
最小配置,58417.0000,0.8258,300030
最小配置,58417.0000,0.8258,300008
最小配置,58417.0000,0.8258,300006
最小配置,76906.5000,0.5505,1718822
最小配置,60410.2500,0.8258,300007
最小配置,58417.0000,0.8258,300006
最小配置,58417.0000,0.8258,300008
