ConfigID,ConfigName,AvgCmax,MinCmax,MaxCmax,StdDev,AvgUtilization,AvgTimeMs,RPD
V0-Full,完整算法,62420.3438,58417.0000,76906.5000,7043.6555,0.7570,475682.50,0.00
V1-RandomInit,随机初始化,62197.0000,58417.0000,76906.5000,6670.8003,0.7646,334724.22,-0.36
V2-SimpleMutation,简化变异,60977.3438,58417.0000,76906.5000,6055.9039,0.7914,476188.88,-2.31
V3-NoTabu,无禁忌搜索,62750.2813,58417.0000,79546.0000,7741.7147,0.7570,651791.88,0.53
V4-SimpleScore,简化评分,64926.1429,58417.0000,76906.5000,7669.9162,0.7078,500770.71,4.01
V5-Minimal,最小配置,61343.1071,58417.0000,76906.5000,6390.8409,0.7865,502698.14,-1.73
