ConfigID,ConfigName,RunID,Cmax,AvgUtilization,TimeMs
V0-Full,完整算法,1,58417.0000,0.8258,300065
V0-Full,完整算法,2,71954.2500,0.5505,300067
V0-Full,完整算法,3,58417.0000,0.8258,300009
V0-Full,完整算法,4,58417.0000,0.8258,300008
V0-Full,完整算法,5,76906.5000,0.5505,1705247
V0-Full,完整算法,6,58417.0000,0.8258,300015
V0-Full,完整算法,7,58417.0000,0.8258,300025
V0-Full,完整算法,9,58417.0000,0.8258,300024
V1-RandomInit,随机初始化,1,60410.2500,0.8258,300022
V1-RandomInit,随机初始化,2,71954.2500,0.5505,300027
V1-RandomInit,随机初始化,3,58417.0000,0.8258,300006
V1-RandomInit,随机初始化,4,58417.0000,0.8258,300008
V1-RandomInit,随机初始化,5,76906.5000,0.5505,612430
V1-RandomInit,随机初始化,6,58417.0000,0.8258,300007
V1-RandomInit,随机初始化,7,58417.0000,0.8258,300005
V1-RandomInit,随机初始化,8,58417.0000,0.8258,300008
V1-RandomInit,随机初始化,9,58417.0000,0.8258,300005
V2-SimpleMutation,简化变异,1,58417.0000,0.8258,300064
V2-SimpleMutation,简化变异,2,58417.0000,0.8258,300066
V2-SimpleMutation,简化变异,3,58417.0000,0.8258,300011
V2-SimpleMutation,简化变异,5,76906.5000,0.5505,1705243
V2-SimpleMutation,简化变异,6,58417.0000,0.8258,300018
V2-SimpleMutation,简化变异,7,58417.0000,0.8258,303117
V2-SimpleMutation,简化变异,8,58417.0000,0.8258,300008
V2-SimpleMutation,简化变异,9,60410.2500,0.8258,300984
V3-NoTabu,无禁忌搜索,1,71954.2500,0.5505,300063
V3-NoTabu,无禁忌搜索,2,58417.0000,0.8258,300066
V3-NoTabu,无禁忌搜索,3,58417.0000,0.8258,300013
V3-NoTabu,无禁忌搜索,4,58417.0000,0.8258,1705307
V3-NoTabu,无禁忌搜索,5,79546.0000,0.5505,1705237
V3-NoTabu,无禁忌搜索,6,58417.0000,0.8258,300007
V3-NoTabu,无禁忌搜索,7,58417.0000,0.8258,302640
V3-NoTabu,无禁忌搜索,9,58417.0000,0.8258,301002
V4-SimpleScore,简化评分,1,71954.2500,0.5505,300064
V4-SimpleScore,简化评分,2,71954.2500,0.5505,300009
V4-SimpleScore,简化评分,3,58417.0000,0.8258,300004
V4-SimpleScore,简化评分,4,76906.5000,0.5505,1705295
V4-SimpleScore,简化评分,6,58417.0000,0.8258,300002
V4-SimpleScore,简化评分,7,58417.0000,0.8258,300012
V4-SimpleScore,简化评分,8,58417.0000,0.8258,300009
V5-Minimal,最小配置,1,58417.0000,0.8258,300030
V5-Minimal,最小配置,2,58417.0000,0.8258,300008
V5-Minimal,最小配置,3,58417.0000,0.8258,300006
V5-Minimal,最小配置,4,76906.5000,0.5505,1718822
V5-Minimal,最小配置,6,60410.2500,0.8258,300007
V5-Minimal,最小配置,7,58417.0000,0.8258,300006
V5-Minimal,最小配置,8,58417.0000,0.8258,300008
