Algorithm,AvgCmax,MinCmax,MaxCmax,StdDev,AvgUtilization,AvgTimeMs
GA-TS,211775.9200,204374.5000,218215.8000,4591.6901,0.7746,300021.40
GA-GA,281500.7400,237642.8000,306858.5000,20195.5172,0.7992,499422.10
GA-ACO,323907.7400,264506.8000,359803.7000,29784.7577,0.7351,765476.00
ALNS,164508.1200,161059.3000,167539.0000,2360.9199,0.0000,300255.30
