Algorithm,Cmax,AvgUtilization,TimeMs
GA-TS,207094.5000,0.7466,300025
GA-TS,209703.2000,0.7466,300014
GA-TS,204374.5000,0.7933,300025
GA-TS,218215.8000,0.7466,300012
GA-TS,217014.5000,0.7933,300032
GA-TS,215457.4000,0.7466,300038
GA-TS,216214.5000,0.7933,300022
GA-TS,208935.8000,0.7933,300014
GA-TS,207574.5000,0.7933,300022
GA-TS,213174.5000,0.7933,300010
GA-GA,291595.7000,0.7933,635238
GA-GA,285482.8000,0.8462,493753
GA-GA,306858.5000,0.7466,636507
GA-GA,261194.8000,0.8462,439367
GA-GA,237642.8000,0.7933,458826
GA-GA,291131.7000,0.7933,503264
GA-GA,283243.7000,0.7933,422205
GA-GA,263994.0000,0.7933,554872
GA-GA,304123.7000,0.7933,406794
GA-GA,289739.7000,0.7933,443395
GA-ACO,274074.8000,0.7466,570873
GA-ACO,352813.5000,0.7051,833943
GA-ACO,335643.5000,0.7466,591177
GA-ACO,346753.5000,0.7466,624663
GA-ACO,330571.7000,0.6680,1094595
GA-ACO,264506.8000,0.7466,996057
GA-ACO,324075.7000,0.7466,607196
GA-ACO,321755.7000,0.7933,881978
GA-ACO,329078.5000,0.7051,853579
GA-ACO,359803.7000,0.7466,600699
ALNS,167024.4000,0.0000,300048
ALNS,167034.0000,0.0000,300119
ALNS,161059.3000,0.0000,300158
ALNS,162535.8000,0.0000,300317
ALNS,164855.8000,0.0000,300743
ALNS,166449.2000,0.0000,300400
ALNS,164843.5000,0.0000,300277
ALNS,167539.0000,0.0000,300127
ALNS,162132.4000,0.0000,300158
ALNS,161607.8000,0.0000,300206
