================================================================================
                          实验结果报告
================================================================================
实验名称: 田口试验4 - T04_pop50_pc0.8_pm0.2_N20_TS50_L10
算例名称: 2M80J
运行ID: 6
实验时间: 2026-02-13 18:31:15

【参数配置】
  最大代数: 1000000
  种群规模: 50
  变异率: 0.15
  交叉率: 0.8

================================================================================
                          最终实验结果
================================================================================
最优Cmax: 515841.0000
运行时间: 300036 ms (300.04 秒)
终止代数: 9243

【收敛曲线数据】
代数	Cmax
1	568564.5000
11	541218.0000
21	515841.0000
31	515841.0000
41	515841.0000
51	515841.0000
61	515841.0000
71	515841.0000
81	515841.0000
91	515841.0000
101	515841.0000
111	515841.0000
121	515841.0000
131	515841.0000
141	515841.0000
151	515841.0000
161	515841.0000
171	515841.0000
181	515841.0000
191	515841.0000
201	515841.0000
211	515841.0000
221	515841.0000
231	515841.0000
241	515841.0000
251	515841.0000
261	515841.0000
271	515841.0000
281	515841.0000
291	515841.0000
301	515841.0000
311	515841.0000
321	515841.0000
331	515841.0000
341	515841.0000
351	515841.0000
361	515841.0000
371	515841.0000
381	515841.0000
391	515841.0000
401	515841.0000
411	515841.0000
421	515841.0000
431	515841.0000
441	515841.0000
451	515841.0000
461	515841.0000
471	515841.0000
481	515841.0000
491	515841.0000
501	515841.0000
511	515841.0000
521	515841.0000
531	515841.0000
541	515841.0000
551	515841.0000
561	515841.0000
571	515841.0000
581	515841.0000
591	515841.0000
601	515841.0000
611	515841.0000
621	515841.0000
631	515841.0000
641	515841.0000
651	515841.0000
661	515841.0000
671	515841.0000
681	515841.0000
691	515841.0000
701	515841.0000
711	515841.0000
721	515841.0000
731	515841.0000
741	515841.0000
751	515841.0000
761	515841.0000
771	515841.0000
781	515841.0000
791	515841.0000
801	515841.0000
811	515841.0000
821	515841.0000
831	515841.0000
841	515841.0000
851	515841.0000
861	515841.0000
871	515841.0000
881	515841.0000
891	515841.0000
901	515841.0000
911	515841.0000
921	515841.0000
931	515841.0000
941	515841.0000
951	515841.0000
961	515841.0000
971	515841.0000
981	515841.0000
991	515841.0000
1001	515841.0000
1011	515841.0000
1021	515841.0000
1031	515841.0000
1041	515841.0000
1051	515841.0000
1061	515841.0000
1071	515841.0000
1081	515841.0000
