ConfigName,Cmax,AvgUtilization,TimeMs
完整算法,209334.5000,0.7885,300099
完整算法,216064.9412,0.7447,300109
完整算法,233063.8000,0.7447,300057
完整算法,229174.5000,0.7447,300082
完整算法,221574.0000,0.7885,300035
完整算法,225639.8000,0.7447,304897
完整算法,222454.5000,0.7885,300207
完整算法,220535.8000,0.7885,300192
完整算法,230664.0000,0.7447,309153
随机初始化,222584.0000,0.7885,300194
随机初始化,219049.0000,0.7885,300072
随机初始化,221927.8000,0.7885,300027
随机初始化,219242.8000,0.7885,300087
随机初始化,206294.5000,0.7885,313170
随机初始化,224247.8000,0.7447,300223
随机初始化,225639.8000,0.7885,300210
随机初始化,228661.4118,0.7885,309072
简化变异,208949.0000,0.8378,300091
简化变异,218679.8000,0.7885,300197
简化变异,218215.8000,0.7885,300077
简化变异,221927.8000,0.8378,313176
简化变异,220374.5000,0.7885,307945
无禁忌搜索,219049.0000,0.7885,300127
无禁忌搜索,220417.4000,0.7447,300157
无禁忌搜索,227959.8000,0.7447,300127
无禁忌搜索,226688.4706,0.7885,300241
简化评分,211137.4000,0.7447,300121
简化评分,226119.0000,0.7447,300033
简化评分,229654.0000,0.7447,300022
简化评分,215895.8000,0.7885,300137
简化评分,214977.4000,0.7885,300050
简化评分,224867.2941,0.7447,300127
简化评分,216823.7647,0.7885,300039
简化评分,337506.1000,0.4622,370399
最小配置,208938.8000,0.7885,300205
最小配置,207434.0000,0.7885,300050
最小配置,217534.0000,0.7885,300034
最小配置,217537.4000,0.7447,300166
最小配置,209959.0000,0.8378,300168
最小配置,218167.2000,0.8378,300126
最小配置,198134.5000,0.7885,300093
最小配置,215930.8000,0.7885,309158
最小配置,283707.7000,0.6703,379327
最小配置,410546.0000,0.4788,370374
