ConfigID,ConfigName,AvgCmax,MinCmax,MaxCmax,StdDev,AvgUtilization,AvgTimeMs,RPD
V0-Full,完整算法,223167.3157,209334.5000,233063.8000,7056.1421,0.7642,301647.89,0.00
V1-RandomInit,随机初始化,220955.8890,206294.5000,228661.4118,6297.5527,0.7831,302881.88,-0.99
V2-SimpleMutation,简化变异,217629.3800,208949.0000,221927.8000,4534.4981,0.8083,304297.20,-2.48
V3-NoTabu,无禁忌搜索,223528.6676,219049.0000,227959.8000,3852.4894,0.7666,300163.00,0.16
V4-SimpleScore,简化评分,234622.5949,211137.4000,337506.1000,39341.7063,0.7259,308866.00,5.13
V5-Minimal,最小配置,238788.9400,198134.5000,410546.0000,61422.6716,0.7512,315970.10,7.00
