ConfigID,ConfigName,RunID,Cmax,AvgUtilization,TimeMs
V0-Full,完整算法,1,209334.5000,0.7885,300099
V0-Full,完整算法,2,216064.9412,0.7447,300109
V0-Full,完整算法,3,233063.8000,0.7447,300057
V0-Full,完整算法,4,229174.5000,0.7447,300082
V0-Full,完整算法,5,221574.0000,0.7885,300035
V0-Full,完整算法,6,225639.8000,0.7447,304897
V0-Full,完整算法,7,222454.5000,0.7885,300207
V0-Full,完整算法,8,220535.8000,0.7885,300192
V0-Full,完整算法,9,230664.0000,0.7447,309153
V1-RandomInit,随机初始化,1,222584.0000,0.7885,300194
V1-RandomInit,随机初始化,2,219049.0000,0.7885,300072
V1-RandomInit,随机初始化,3,221927.8000,0.7885,300027
V1-RandomInit,随机初始化,4,219242.8000,0.7885,300087
V1-RandomInit,随机初始化,6,206294.5000,0.7885,313170
V1-RandomInit,随机初始化,7,224247.8000,0.7447,300223
V1-RandomInit,随机初始化,8,225639.8000,0.7885,300210
V1-RandomInit,随机初始化,9,228661.4118,0.7885,309072
V2-SimpleMutation,简化变异,1,208949.0000,0.8378,300091
V2-SimpleMutation,简化变异,2,218679.8000,0.7885,300197
V2-SimpleMutation,简化变异,3,218215.8000,0.7885,300077
V2-SimpleMutation,简化变异,6,221927.8000,0.8378,313176
V2-SimpleMutation,简化变异,8,220374.5000,0.7885,307945
V3-NoTabu,无禁忌搜索,1,219049.0000,0.7885,300127
V3-NoTabu,无禁忌搜索,2,220417.4000,0.7447,300157
V3-NoTabu,无禁忌搜索,3,227959.8000,0.7447,300127
V3-NoTabu,无禁忌搜索,4,226688.4706,0.7885,300241
V4-SimpleScore,简化评分,1,211137.4000,0.7447,300121
V4-SimpleScore,简化评分,2,226119.0000,0.7447,300033
V4-SimpleScore,简化评分,3,229654.0000,0.7447,300022
V4-SimpleScore,简化评分,4,215895.8000,0.7885,300137
V4-SimpleScore,简化评分,5,214977.4000,0.7885,300050
V4-SimpleScore,简化评分,6,224867.2941,0.7447,300127
V4-SimpleScore,简化评分,7,216823.7647,0.7885,300039
V4-SimpleScore,简化评分,10,337506.1000,0.4622,370399
V5-Minimal,最小配置,1,208938.8000,0.7885,300205
V5-Minimal,最小配置,2,207434.0000,0.7885,300050
V5-Minimal,最小配置,3,217534.0000,0.7885,300034
V5-Minimal,最小配置,4,217537.4000,0.7447,300166
V5-Minimal,最小配置,5,209959.0000,0.8378,300168
V5-Minimal,最小配置,6,218167.2000,0.8378,300126
V5-Minimal,最小配置,7,198134.5000,0.7885,300093
V5-Minimal,最小配置,8,215930.8000,0.7885,309158
V5-Minimal,最小配置,9,283707.7000,0.6703,379327
V5-Minimal,最小配置,10,410546.0000,0.4788,370374
