================================================================================
                          实验结果报告
================================================================================
实验名称: 田口试验16 - T16_pop100_pc0.9_pm0.1_N20_TS50_L20
算例名称: 2M80J
运行ID: 7
实验时间: 2026-02-14 06:01:00

【参数配置】
  最大代数: 1000000
  种群规模: 100
  变异率: 0.1
  交叉率: 0.9

================================================================================
                          最终实验结果
================================================================================
最优Cmax: 523865.0000
运行时间: 300036 ms (300.04 秒)
终止代数: 5958

【收敛曲线数据】
代数	Cmax
1	560334.0000
11	532770.7500
21	531214.5000
31	531214.5000
41	531214.5000
51	527641.0000
61	527641.0000
71	527641.0000
81	527641.0000
91	527641.0000
101	527641.0000
111	527641.0000
121	527641.0000
131	527641.0000
141	527641.0000
151	527641.0000
161	527641.0000
171	527641.0000
181	527641.0000
191	527641.0000
201	527641.0000
211	527641.0000
221	527641.0000
231	527641.0000
241	527641.0000
251	527641.0000
261	527641.0000
271	527641.0000
281	527641.0000
291	525895.5000
301	525895.5000
311	525895.5000
321	525895.5000
331	525895.5000
341	525895.5000
351	525895.5000
361	525895.5000
371	525895.5000
381	525895.5000
391	525895.5000
401	525895.5000
411	525895.5000
421	525895.5000
431	525895.5000
441	525895.5000
451	525895.5000
461	525895.5000
471	525895.5000
481	525895.5000
491	525895.5000
501	525895.5000
511	525895.5000
521	525895.5000
531	525895.5000
541	525895.5000
551	525895.5000
561	525895.5000
571	525895.5000
581	525895.5000
591	525895.5000
601	525895.5000
611	525895.5000
621	525895.5000
631	525895.5000
641	525895.5000
651	525895.5000
661	525895.5000
671	525895.5000
681	525895.5000
691	525895.5000
701	525895.5000
711	525895.5000
721	525895.5000
731	525895.5000
741	525895.5000
751	525895.5000
761	525895.5000
771	525895.5000
781	525895.5000
791	525895.5000
801	525895.5000
811	525895.5000
821	525895.5000
831	525895.5000
841	525895.5000
851	525895.5000
861	525895.5000
871	525895.5000
881	525895.5000
891	525895.5000
901	525895.5000
911	525895.5000
921	525895.5000
931	525895.5000
941	525895.5000
951	525895.5000
961	525895.5000
971	524809.0000
981	524809.0000
991	524809.0000
1001	524809.0000
1011	524809.0000
1021	524809.0000
1031	524809.0000
