╔═══════════════════════════════════════════════════════════════╗
║           NSGA-II 多目标优化结果                              ║
╚═══════════════════════════════════════════════════════════════╝

生成时间: Mon Jan 26 11:58:34 CST 2026
算例文件: C:\Users\Zhang Hailong\Desktop\毕设相关\毕设程序\Article\chapter-3\src\main\resources\instance\J100P5B4D10_02.txt

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  问题信息
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
工件数:       100
机器总数:     17
打印机数:     5
批处理机数:   2

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  算法参数
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
种群规模:     100
最大代数:     200
交叉率:       0.9
变异率:       0.1
最大运行时间: 1.0 分钟

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  Pareto前沿（共 100 个解）
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

序号     Cmax         能耗(kWh)        PackingQ     批次数        拥挤距离        
────────────────────────────────────────────────────────────────────────
1      534106.70    5391.68        0.6394       11         INF         
2      534106.70    5391.68        0.6394       11         INF         
3      534106.70    5391.68        0.6394       11         0.0000      
4      534106.70    5391.68        0.6394       11         0.0000      
5      534106.70    5391.68        0.6394       11         0.0000      
6      534106.70    5391.68        0.6394       11         0.0000      
7      534106.70    5391.68        0.6394       11         0.0000      
8      534106.70    5391.68        0.6394       11         0.0000      
9      534106.70    5391.68        0.6394       11         0.0000      
10     534106.70    5391.68        0.6394       11         0.0000      
11     534106.70    5391.68        0.6394       11         0.0000      
12     534106.70    5391.68        0.6394       11         0.0000      
13     534106.70    5391.68        0.6394       11         0.0000      
14     534106.70    5391.68        0.6394       11         0.0000      
15     534106.70    5391.68        0.6394       11         0.0000      
16     534106.70    5391.68        0.6394       11         0.0000      
17     534106.70    5391.68        0.6394       11         0.0000      
18     534106.70    5391.68        0.6394       11         0.0000      
19     534106.70    5391.68        0.6394       11         0.0000      
20     534106.70    5391.68        0.6394       11         0.0000      
21     534106.70    5391.68        0.6394       11         0.0000      
22     534106.70    5391.68        0.6394       11         0.0000      
23     534106.70    5391.68        0.6394       11         0.0000      
24     534106.70    5391.68        0.6394       11         0.0000      
25     534106.70    5391.68        0.6394       11         0.0000      
26     534106.70    5391.68        0.6394       11         0.0000      
27     534106.70    5391.68        0.6394       11         0.0000      
28     534106.70    5391.68        0.6394       11         0.0000      
29     534106.70    5391.68        0.6394       11         0.0000      
30     534106.70    5391.68        0.6394       11         0.0000      
31     534106.70    5391.68        0.6394       11         0.0000      
32     534106.70    5391.68        0.6394       11         0.0000      
33     534106.70    5391.68        0.6394       11         0.0000      
34     534212.70    5377.59        0.6394       11         1.3927      
35     534212.70    5377.59        0.6394       11         0.6073      
36     534212.70    5377.59        0.6394       11         0.0000      
37     534212.70    5377.59        0.6394       11         0.0000      
38     534212.70    5377.59        0.6394       11         0.0000      
39     534212.70    5377.59        0.6394       11         0.0000      
40     534212.70    5377.59        0.6394       11         0.0000      
41     534212.70    5377.59        0.6394       11         0.0000      
42     534212.70    5377.59        0.6394       11         0.0000      
43     534212.70    5377.59        0.6394       11         0.0000      
44     534212.70    5377.59        0.6394       11         0.0000      
45     534212.70    5377.59        0.6394       11         0.0000      
46     534212.70    5377.59        0.6394       11         0.0000      
47     534212.70    5377.59        0.6394       11         0.0000      
48     534212.70    5377.59        0.6394       11         0.0000      
49     534212.70    5377.59        0.6394       11         0.0000      
50     534212.70    5377.59        0.6394       11         0.0000      
51     534212.70    5377.59        0.6394       11         0.0000      
52     534212.70    5377.59        0.6394       11         0.0000      
53     534212.70    5377.59        0.6394       11         0.0000      
54     534212.70    5377.59        0.6394       11         0.0000      
55     534212.70    5377.59        0.6394       11         0.0000      
56     534212.70    5377.59        0.6394       11         0.0000      
57     534212.70    5377.59        0.6394       11         0.0000      
58     534212.70    5377.59        0.6394       11         0.0000      
59     534212.70    5377.59        0.6394       11         0.0000      
60     534212.70    5377.59        0.6394       11         0.0000      
61     534212.70    5377.59        0.6394       11         0.0000      
62     534212.70    5377.59        0.6394       11         0.0000      
63     534212.70    5377.59        0.6394       11         0.0000      
64     534212.70    5377.59        0.6394       11         0.0000      
65     534212.70    5377.59        0.6394       11         0.0000      
66     534212.70    5377.59        0.6394       11         0.0000      
67     534212.70    5377.59        0.6394       11         0.0000      
68     534212.70    5377.59        0.6394       11         0.0000      
69     534212.70    5377.59        0.6394       11         0.0000      
70     534212.70    5377.59        0.6394       11         0.0000      
71     534212.70    5377.59        0.6394       11         0.0000      
72     534212.70    5377.59        0.6394       11         0.0000      
73     534212.70    5377.59        0.6394       11         0.0000      
74     534212.70    5377.59        0.6394       11         0.0000      
75     534212.70    5377.59        0.6394       11         0.0000      
76     534212.70    5377.59        0.6394       11         0.0000      
77     534212.70    5377.59        0.6394       11         0.0000      
78     534212.70    5377.59        0.6394       11         0.0000      
79     534212.70    5377.59        0.6394       11         0.0000      
80     534212.70    5377.59        0.6394       11         0.0000      
81     534212.70    5377.59        0.6394       11         0.0000      
82     534212.70    5377.59        0.6394       11         0.0000      
83     534212.70    5377.59        0.6394       11         0.0000      
84     534212.70    5377.59        0.6394       11         0.0000      
85     534212.70    5377.59        0.6394       11         0.0000      
86     534212.70    5377.59        0.6394       11         0.0000      
87     534212.70    5377.59        0.6394       11         0.0000      
88     534212.70    5377.59        0.6394       11         0.0000      
89     534212.70    5377.59        0.6394       11         0.0000      
90     534212.70    5377.59        0.6394       11         0.0000      
91     534212.70    5377.59        0.6394       11         0.0000      
92     534212.70    5377.59        0.6394       11         0.0000      
93     534212.70    5377.59        0.6394       11         0.0000      
94     534212.70    5377.59        0.6394       11         0.0000      
95     534212.70    5377.59        0.6394       11         0.0000      
96     534212.70    5377.59        0.6394       11         0.0000      
97     534212.70    5377.59        0.6394       11         0.0000      
98     534212.70    5377.59        0.6394       11         0.0000      
99     559831.08    5356.17        0.4464       11         INF         
100    559831.08    5356.17        0.4464       11         INF         

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  统计信息
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

Cmax范围:      [534106.70, 559831.08]
能耗范围:      [5356.17, 5391.68] kWh
Cmax变化幅度:  4.82%
能耗变化幅度:  0.66%

═══════════════════════════════════════════════════════════════
