# Pareto Front
# Size: 26
# Format: Cmax Energy

73077.842105	826.155238
71920.842105	826.753773
69127.087719	834.347231
72594.842105	826.635996
69628.087719	828.505477
67839.087719	838.689506
68308.000000	838.309851
68024.087719	838.607206
71441.000000	827.261619
72458.087719	826.672026
71352.842105	827.472130
70472.087719	828.457458
71508.842105	826.880463
71408.842105	827.388039
70555.087719	827.767085
69392.842105	833.046620
71956.842105	826.685174
68563.000000	837.533865
70483.842105	827.829685
68474.842105	837.860799
68692.842105	834.818109
73166.000000	826.058670
69481.000000	832.948034
67347.000000	852.044799
67302.000000	852.463671
67556.000000	851.275976
