Pareto前沿解集
================================================================================

解的数量: 100

--------------------------------------------------------------------------------
序号       Cmax                 能耗(kWh)              装箱质量            批次数       
--------------------------------------------------------------------------------
1        58419.00             9580335.95           0.7175          6         
2        60728.00             9575904.31           0.7175          6         
3        58419.00             9580335.95           0.7175          6         
4        60728.00             9575904.31           0.7175          6         
5        58487.00             9580332.95           0.7175          6         
6        58708.00             9578089.95           0.7175          6         
7        60405.00             9575907.31           0.7175          6         
8        59715.00             9575908.91           0.7175          6         
9        59014.00             9576259.95           0.7175          6         
10       58994.00             9577279.95           0.7175          6         
11       59119.00             9576256.95           0.7175          6         
12       59684.00             9575911.21           0.7175          6         
13       58945.00             9577280.95           0.7175          6         
14       58895.00             9578026.21           0.7175          6         
15       60523.00             9575905.31           0.7175          6         
16       59119.00             9576256.95           0.7175          6         
17       58708.00             9578089.95           0.7175          6         
18       58487.00             9580332.95           0.7175          6         
19       59684.00             9575911.21           0.7175          6         
20       58891.00             9578061.95           0.7175          6         
21       58716.00             9578085.95           0.7175          6         
22       58895.00             9578026.21           0.7175          6         
23       58945.00             9577280.95           0.7175          6         
24       59715.00             9575908.91           0.7175          6         
25       59014.00             9576259.95           0.7175          6         
26       58994.00             9577279.95           0.7175          6         
27       58716.00             9578085.95           0.7175          6         
28       58891.00             9578061.95           0.7175          6         
29       60728.00             9575904.31           0.7175          6         
30       58419.00             9580335.95           0.7175          6         
31       59119.00             9576256.95           0.7175          6         
32       58708.00             9578089.95           0.7175          6         
33       58487.00             9580332.95           0.7175          6         
34       59684.00             9575911.21           0.7175          6         
35       58895.00             9578026.21           0.7175          6         
36       58945.00             9577280.95           0.7175          6         
37       59715.00             9575908.91           0.7175          6         
38       59014.00             9576259.95           0.7175          6         
39       58994.00             9577279.95           0.7175          6         
40       58716.00             9578085.95           0.7175          6         
41       58891.00             9578061.95           0.7175          6         
42       58419.00             9580335.95           0.7175          6         
43       60728.00             9575904.31           0.7175          6         
44       59119.00             9576256.95           0.7175          6         
45       58708.00             9578089.95           0.7175          6         
46       58487.00             9580332.95           0.7175          6         
47       59684.00             9575911.21           0.7175          6         
48       58895.00             9578026.21           0.7175          6         
49       58945.00             9577280.95           0.7175          6         
50       59715.00             9575908.91           0.7175          6         
51       59014.00             9576259.95           0.7175          6         
52       58994.00             9577279.95           0.7175          6         
53       58716.00             9578085.95           0.7175          6         
54       58891.00             9578061.95           0.7175          6         
55       60728.00             9575904.31           0.7175          6         
56       58419.00             9580335.95           0.7175          6         
57       59119.00             9576256.95           0.7175          6         
58       58708.00             9578089.95           0.7175          6         
59       58487.00             9580332.95           0.7175          6         
60       58895.00             9578026.21           0.7175          6         
61       58945.00             9577280.95           0.7175          6         
62       59715.00             9575908.91           0.7175          6         
63       59014.00             9576259.95           0.7175          6         
64       58994.00             9577279.95           0.7175          6         
65       58716.00             9578085.95           0.7175          6         
66       58891.00             9578061.95           0.7175          6         
67       60728.00             9575904.31           0.7175          6         
68       58419.00             9580335.95           0.7175          6         
69       59119.00             9576256.95           0.7175          6         
70       58708.00             9578089.95           0.7175          6         
71       58487.00             9580332.95           0.7175          6         
72       58895.00             9578026.21           0.7175          6         
73       58945.00             9577280.95           0.7175          6         
74       59715.00             9575908.91           0.7175          6         
75       59014.00             9576259.95           0.7175          6         
76       58994.00             9577279.95           0.7175          6         
77       58716.00             9578085.95           0.7175          6         
78       58891.00             9578061.95           0.7175          6         
79       58419.00             9580335.95           0.7175          6         
80       60728.00             9575904.31           0.7175          6         
81       59119.00             9576256.95           0.7175          6         
82       58708.00             9578089.95           0.7175          6         
83       58487.00             9580332.95           0.7175          6         
84       58895.00             9578026.21           0.7175          6         
85       58945.00             9577280.95           0.7175          6         
86       59715.00             9575908.91           0.7175          6         
87       59014.00             9576259.95           0.7175          6         
88       58994.00             9577279.95           0.7175          6         
89       58716.00             9578085.95           0.7175          6         
90       58891.00             9578061.95           0.7175          6         
91       60728.00             9575904.31           0.7175          6         
92       58419.00             9580335.95           0.7175          6         
93       59119.00             9576256.95           0.7175          6         
94       58708.00             9578089.95           0.7175          6         
95       58487.00             9580332.95           0.7175          6         
96       58895.00             9578026.21           0.7175          6         
97       58945.00             9577280.95           0.7175          6         
98       59715.00             9575908.91           0.7175          6         
99       59014.00             9576259.95           0.7175          6         
100      58994.00             9577279.95           0.7175          6         
--------------------------------------------------------------------------------

统计信息:
  Cmax范围: [58419.00, 60728.00]
  能耗范围: [9575904.31, 9580335.95] kWh
  Cmax改进: 3.80%
  能耗改进: 0.05%
