Algorithm,Run,HV,IGD,RunTime
NSGAII,1,0.23384972,0.39475063,300.37
NSGAII,2,0.27697806,0.34998336,300.37
NSGAII,3,0.16962652,0.22166553,301.09
NSGAII,4,0.25769800,0.55074798,300.80
NSGAII,5,0.18044873,0.27204994,300.97
NSGAII,6,0.11395806,0.34382434,300.43
NSGAII,7,0.07707399,0.19826366,300.41
NSGAII,8,0.25895455,0.42339198,300.40
NSGAII,9,0.11853269,0.20572812,300.54
NSGAII,10,0.14307736,0.25400155,300.99
NSGAII-Basic,1,0.12476259,0.30221712,300.02
NSGAII-Basic,2,0.15581581,0.09103091,300.01
NSGAII-Basic,3,0.26574214,0.40430657,300.08
NSGAII-Basic,4,0.22232077,0.41495602,300.08
NSGAII-Basic,5,0.26329532,0.50181751,300.01
NSGAII-Basic,6,0.16267292,0.29040102,300.07
NSGAII-Basic,7,0.21248451,0.39458724,300.01
NSGAII-Basic,8,0.27524165,0.22688778,300.06
NSGAII-Basic,9,0.18780121,0.40900071,300.05
NSGAII-Basic,10,0.20591224,0.45155218,300.08
MOEAD,1,0.16280746,0.63478997,300.05
MOEAD,2,0.14176594,0.76538514,300.06
MOEAD,3,0.20144871,0.59649436,300.05
MOEAD,4,0.24921167,0.57314417,300.08
MOEAD,5,0.20308550,1.03583696,300.07
MOEAD,6,0.15294250,0.48783185,300.05
MOEAD,7,0.24104374,0.81316640,300.03
MOEAD,8,0.19867766,0.67639538,300.09
MOEAD,9,0.32480425,0.48492038,300.10
MOEAD,10,0.20774611,0.45250170,300.03
MOGWO,1,0.36585626,0.60489315,300.08
MOGWO,2,0.23566679,0.79189705,300.06
MOGWO,3,0.33604755,0.76444642,300.07
MOGWO,4,0.16393331,0.90664592,300.10
MOGWO,5,0.16742659,0.71325951,300.05
MOGWO,6,0.12529480,0.83108791,300.03
MOGWO,7,0.30851888,0.77680473,300.04
MOGWO,8,0.27385187,0.67636837,300.03
MOGWO,9,0.33850827,0.82577831,300.07
MOGWO,10,0.16351828,0.90159789,300.04
SPEA2,1,0.34657808,0.00894032,300.06
SPEA2,2,0.26070291,0.25248016,300.05
SPEA2,3,0.22291763,0.31228930,300.06
SPEA2,4,0.24755589,0.43482856,300.10
SPEA2,5,0.22880340,0.15147644,300.05
SPEA2,6,0.05814385,0.14735665,300.05
SPEA2,7,0.39111156,0.40479499,300.05
SPEA2,8,0.17142620,0.43443886,300.05
SPEA2,9,0.27769995,0.55770135,300.06
SPEA2,10,0.20748104,0.55062792,300.07
