Algorithm,AvgCmax,MinCmax,MaxCmax,StdDev,AvgUtilization,AvgTimeMs
GA-TS,356411.2900,350028.8000,367002.1500,4624.0691,0.8069,300034.80
GA-GA,464648.8800,385168.8000,603355.2000,69710.6528,0.8092,445829.90
GA-ACO,588199.6800,452436.8000,669619.2000,76950.3546,0.7528,843387.20
ALNS,294682.3900,290868.3000,296816.8000,1495.0546,0.0000,300179.90
