Algorithm,RunID,Cmax,AvgUtilization,TimeMs,MachinePath,ItemPath
GA-TS,1,350028.8000,0.8069,300016,chapter-1/src/main/resources/Machine/machine_3,chapter-1/src/main/resources/PrintItem/printItem_60/printItem_60_03
GA-TS,2,355048.8000,0.8069,300031,chapter-1/src/main/resources/Machine/machine_3,chapter-1/src/main/resources/PrintItem/printItem_60/printItem_60_03
GA-TS,3,359303.5000,0.8069,300030,chapter-1/src/main/resources/Machine/machine_3,chapter-1/src/main/resources/PrintItem/printItem_60/printItem_60_03
GA-TS,4,359303.5000,0.8069,300019,chapter-1/src/main/resources/Machine/machine_3,chapter-1/src/main/resources/PrintItem/printItem_60/printItem_60_03
GA-TS,5,353040.8000,0.8069,300037,chapter-1/src/main/resources/Machine/machine_3,chapter-1/src/main/resources/PrintItem/printItem_60/printItem_60_03
GA-TS,6,355048.8000,0.8069,300025,chapter-1/src/main/resources/Machine/machine_3,chapter-1/src/main/resources/PrintItem/printItem_60/printItem_60_03
GA-TS,7,352303.5000,0.8069,300057,chapter-1/src/main/resources/Machine/machine_3,chapter-1/src/main/resources/PrintItem/printItem_60/printItem_60_03
GA-TS,8,358988.2500,0.8069,300049,chapter-1/src/main/resources/Machine/machine_3,chapter-1/src/main/resources/PrintItem/printItem_60/printItem_60_03
GA-TS,9,354044.8000,0.8069,300060,chapter-1/src/main/resources/Machine/machine_3,chapter-1/src/main/resources/PrintItem/printItem_60/printItem_60_03
GA-TS,10,367002.1500,0.8069,300024,chapter-1/src/main/resources/Machine/machine_3,chapter-1/src/main/resources/PrintItem/printItem_60/printItem_60_03
GA-GA,1,393200.8000,0.8069,465170,chapter-1/src/main/resources/Machine/machine_3,chapter-1/src/main/resources/PrintItem/printItem_60/printItem_60_03
GA-GA,2,420308.8000,0.7449,399027,chapter-1/src/main/resources/Machine/machine_3,chapter-1/src/main/resources/PrintItem/printItem_60/printItem_60_03
GA-GA,3,603355.2000,0.8069,453427,chapter-1/src/main/resources/Machine/machine_3,chapter-1/src/main/resources/PrintItem/printItem_60/printItem_60_03
GA-GA,4,583275.2000,0.8069,385171,chapter-1/src/main/resources/Machine/machine_3,chapter-1/src/main/resources/PrintItem/printItem_60/printItem_60_03
