ConfigID,ConfigName,RunID,Cmax,AvgUtilization,TimeMs
V0-Full,完整算法,1,151323.0000,0.7709,300038
V0-Full,完整算法,2,150078.0000,0.7709,300032
V0-Full,完整算法,3,153303.0000,0.7709,300002
V0-Full,完整算法,4,161327.0000,0.7709,300012
V0-Full,完整算法,7,144164.2500,0.7709,458487
V0-Full,完整算法,8,150078.0000,0.7709,300003
V0-Full,完整算法,9,159415.5000,0.7709,300018
V0-Full,完整算法,10,155058.0000,0.7709,303436
V1-RandomInit,随机初始化,1,145098.0000,0.7709,300020
V1-RandomInit,随机初始化,2,150235.0000,0.7709,300033
V1-RandomInit,随机初始化,3,162271.0000,0.7709,300019
V1-RandomInit,随机初始化,4,155058.0000,0.7709,300010
V1-RandomInit,随机初始化,6,167227.0000,0.7709,391680
V1-RandomInit,随机初始化,7,150471.0000,0.7709,300038
V1-RandomInit,随机初始化,8,148583.0000,0.7709,300012
V1-RandomInit,随机初始化,9,160383.0000,0.7709,300027
V2-SimpleMutation,简化变异,1,144164.2500,0.7709,300034
V2-SimpleMutation,简化变异,2,145098.0000,0.7709,300032
V2-SimpleMutation,简化变异,3,148521.7500,0.7709,300017
V2-SimpleMutation,简化变异,5,195237.0000,0.5507,300880
V2-SimpleMutation,简化变异,6,178429.5000,0.6424,346490
V2-SimpleMutation,简化变异,7,154247.0000,0.7709,300019
V2-SimpleMutation,简化变异,8,148521.7500,0.7709,300029
V2-SimpleMutation,简化变异,9,151415.0000,0.7709,300173
V2-SimpleMutation,简化变异,10,179152.0000,0.6424,302372
V3-NoTabu,无禁忌搜索,1,145098.0000,0.7709,300023
V3-NoTabu,无禁忌搜索,2,154435.5000,0.7709,300028
V3-NoTabu,无禁忌搜索,3,155058.0000,0.7709,300034
V3-NoTabu,无禁忌搜索,4,181040.0000,0.6424,301033
V3-NoTabu,无禁忌搜索,7,150078.0000,0.7709,300069
V3-NoTabu,无禁忌搜索,8,149055.0000,0.7709,300027
V3-NoTabu,无禁忌搜索,9,162216.7500,0.7709,303519
V4-SimpleScore,简化评分,1,150235.0000,0.7709,300035
V4-SimpleScore,简化评分,2,162271.0000,0.7709,300012
V4-SimpleScore,简化评分,3,154435.5000,0.7709,300010
V4-SimpleScore,简化评分,7,150078.0000,0.7709,300026
V4-SimpleScore,简化评分,8,154719.0000,0.7709,300019
V4-SimpleScore,简化评分,9,158170.5000,0.7709,303498
V4-SimpleScore,简化评分,10,199920.0000,0.5507,302316
V5-Minimal,最小配置,1,148521.7500,0.7709,300029
V5-Minimal,最小配置,2,154435.5000,0.7709,300011
V5-Minimal,最小配置,3,154011.0000,0.7709,300017
V5-Minimal,最小配置,4,191771.0000,0.6424,300915
V5-Minimal,最小配置,7,146695.0000,0.7709,321356
V5-Minimal,最小配置,8,156371.0000,0.7709,300027
V5-Minimal,最小配置,9,148521.7500,0.7709,303452
V5-Minimal,最小配置,10,207944.0000,0.5507,302310
