ConfigID,ConfigName,AvgCmax,MinCmax,MaxCmax,StdDev,AvgUtilization,AvgTimeMs,RPD
V0-Full,完整算法,153093.3438,144164.2500,161327.0000,5156.4767,0.7709,320253.50,0.00
V1-RandomInit,随机初始化,154915.7500,145098.0000,167227.0000,7191.4428,0.7709,311479.88,1.19
V2-SimpleMutation,简化变异,160531.8056,144164.2500,195237.0000,17602.6723,0.7179,305560.67,4.86
V3-NoTabu,无禁忌搜索,156711.6071,145098.0000,181040.0000,11132.9410,0.7526,300676.14,2.36
V4-SimpleScore,简化评分,161404.1429,150078.0000,199920.0000,16217.1141,0.7395,300845.14,5.43
V5-Minimal,最小配置,163533.8750,146695.0000,207944.0000,21588.8927,0.7273,303514.63,6.82
