Algorithm,AvgCmax,MinCmax,MaxCmax,StdDev,AvgUtilization,AvgTimeMs
GA-TS,64230.5500,58417.0000,71954.2500,6348.2360,0.7157,300151.80
GA-GA,58417.0000,58417.0000,58417.0000,0.0000,0.8258,314556.80
GA-ACO,60428.1750,58417.0000,72549.0000,4137.4426,0.8258,320937.70
ALNS,58417.0000,58417.0000,58417.0000,0.0000,0.0000,300002.40
