Algorithm,Cmax,AvgUtilization,TimeMs
GA-TS,58417.0000,0.8258,300150
GA-TS,71954.2500,0.5505,300157
GA-TS,71954.2500,0.5505,300150
GA-TS,71954.2500,0.5505,300147
GA-TS,58417.0000,0.8258,300138
GA-TS,60410.2500,0.8258,300151
GA-TS,71954.2500,0.5505,300154
GA-TS,58417.0000,0.8258,300173
GA-TS,60410.2500,0.8258,300153
GA-TS,58417.0000,0.8258,300145
GA-GA,58417.0000,0.8258,312072
GA-GA,58417.0000,0.8258,314679
GA-GA,58417.0000,0.8258,313219
GA-GA,58417.0000,0.8258,316701
GA-GA,58417.0000,0.8258,320158
GA-GA,58417.0000,0.8258,314138
GA-GA,58417.0000,0.8258,317741
GA-GA,58417.0000,0.8258,314318
GA-GA,58417.0000,0.8258,314818
GA-GA,58417.0000,0.8258,307724
GA-ACO,58417.0000,0.8258,313008
GA-ACO,58417.0000,0.8258,328418
GA-ACO,58417.0000,0.8258,316429
GA-ACO,60410.2500,0.8258,330751
GA-ACO,58417.0000,0.8258,322363
GA-ACO,60410.2500,0.8258,313006
GA-ACO,72549.0000,0.8258,329556
GA-ACO,58417.0000,0.8258,312627
GA-ACO,58417.0000,0.8258,317866
GA-ACO,60410.2500,0.8258,325353
ALNS,58417.0000,0.0000,300003
ALNS,58417.0000,0.0000,300000
ALNS,58417.0000,0.0000,300000
ALNS,58417.0000,0.0000,300002
ALNS,58417.0000,0.0000,300000
ALNS,58417.0000,0.0000,300001
ALNS,58417.0000,0.0000,300016
ALNS,58417.0000,0.0000,300001
ALNS,58417.0000,0.0000,300000
ALNS,58417.0000,0.0000,300001
