Algorithm,RunID,Cmax,AvgUtilization,TimeMs,MachinePath,ItemPath
GA-TS,1,58417.0000,0.8258,300150,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_01
GA-TS,2,71954.2500,0.5505,300157,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_01
GA-TS,3,71954.2500,0.5505,300150,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_01
GA-TS,4,71954.2500,0.5505,300147,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_01
GA-TS,5,58417.0000,0.8258,300138,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_01
GA-TS,6,60410.2500,0.8258,300151,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_01
GA-TS,7,71954.2500,0.5505,300154,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_01
GA-TS,8,58417.0000,0.8258,300173,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_01
GA-TS,9,60410.2500,0.8258,300153,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_01
GA-TS,10,58417.0000,0.8258,300145,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_01
GA-GA,1,58417.0000,0.8258,312072,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_01
GA-GA,2,58417.0000,0.8258,314679,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_01
GA-GA,3,58417.0000,0.8258,313219,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_01
GA-GA,4,58417.0000,0.8258,316701,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_01
GA-GA,5,58417.0000,0.8258,320158,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_01
GA-GA,6,58417.0000,0.8258,314138,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_01
GA-GA,7,58417.0000,0.8258,317741,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_01
GA-GA,8,58417.0000,0.8258,314318,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_01
GA-GA,9,58417.0000,0.8258,314818,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_01
GA-GA,10,58417.0000,0.8258,307724,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_01
GA-ACO,1,58417.0000,0.8258,313008,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_01
GA-ACO,2,58417.0000,0.8258,328418,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_01
GA-ACO,3,58417.0000,0.8258,316429,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_01
GA-ACO,4,60410.2500,0.8258,330751,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_01
GA-ACO,5,58417.0000,0.8258,322363,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_01
GA-ACO,6,60410.2500,0.8258,313006,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_01
GA-ACO,7,72549.0000,0.8258,329556,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_01
GA-ACO,8,58417.0000,0.8258,312627,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_01
GA-ACO,9,58417.0000,0.8258,317866,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_01
GA-ACO,10,60410.2500,0.8258,325353,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_01
ALNS,1,58417.0000,0.0000,300003,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_01
