Algorithm,AvgCmax,MinCmax,MaxCmax,StdDev,AvgUtilization,AvgTimeMs
GA-TS,441876.2050,433360.8000,451432.8000,5500.9652,0.7889,300024.10
GA-GA,481183.9100,423120.9000,631467.2000,58698.7365,0.7950,426956.20
GA-ACO,615050.5700,465336.9000,716807.2000,79700.5317,0.7324,779424.60
ALNS,364535.4400,358012.2000,375813.8000,5294.6185,0.0000,300103.20
