Algorithm,Cmax,AvgUtilization,TimeMs
GA-TS,448860.2000,0.7889,300029
GA-TS,435700.2000,0.7889,300025
GA-TS,433360.8000,0.7889,300009
GA-TS,451432.8000,0.7889,300031
GA-TS,442140.2000,0.7889,300022
GA-TS,443400.8000,0.7889,300014
GA-TS,443104.6500,0.7889,300033
GA-TS,444660.2000,0.7889,300046
GA-TS,435713.4000,0.7889,300021
GA-TS,440388.8000,0.7889,300011
GA-GA,459464.8000,0.7889,371693
GA-GA,486572.8000,0.8496,486200
GA-GA,466722.3000,0.7889,377585
GA-GA,441392.8000,0.7889,390877
GA-GA,538780.8000,0.7889,433329
GA-GA,476532.8000,0.7889,390711
GA-GA,423120.9000,0.7889,404150
GA-GA,437355.9000,0.7889,411457
GA-GA,631467.2000,0.7889,421572
GA-GA,450428.8000,0.7889,581988
GA-ACO,565888.8000,0.7363,693775
GA-ACO,710783.2000,0.7363,722316
GA-ACO,559653.6000,0.7363,682045
GA-ACO,568333.6000,0.7889,779926
GA-ACO,704759.2000,0.7363,791849
GA-ACO,638495.2000,0.6903,853811
GA-ACO,465336.9000,0.6903,886967
GA-ACO,558860.8000,0.7363,782868
GA-ACO,716807.2000,0.7363,795048
GA-ACO,661587.2000,0.7363,805641
ALNS,364560.3000,0.0000,300044
ALNS,360663.6000,0.0000,300144
ALNS,366202.8000,0.0000,300156
ALNS,363202.5000,0.0000,300071
ALNS,361857.1000,0.0000,300139
ALNS,361560.0000,0.0000,300011
ALNS,361028.3000,0.0000,300147
ALNS,358012.2000,0.0000,300104
ALNS,372453.8000,0.0000,300093
ALNS,375813.8000,0.0000,300123
