================================================================================
                          田口实验结果报告
================================================================================
算例名称: 随机密钥GA算法
实验次数: 第 7 次
实验时间: 2025-12-21 20:03:30

【参数配置】
GAParameters{
  popSize=200, pr=0.15, pc=0.90, pm=0.30
  maxStagnantStep=300000 (早停阈值), maxRunTime=3.0分钟
  localSearch: 启用 (maxIter=10, noImprove=3)
  heuristicInit: 启用 (ratio=0.80)
  candidates: N1N2=10, N3=5, N4=8, N5=6
}

========== 随机密钥遗传算法开始 ==========
问题规模: 50个零件, 2台打印机
种群大小: 200
交叉率: 0.9
变异率: 0.3
精英保留比例: 10.0%
终止条件: 3.0分钟 或 300000代无改进
==========================================

正在初始化种群...
初始种群最优解: Makespan = 90549.15
初始种群平均解: Makespan = 120729.35

Gen    1 | 最优: 88648.54 | 平均: 111186.43 | 改进: 1900.61 | 停滞: 0/300000 | 耗时: 0.0分钟
Gen   50 | 最优: 83201.90 | 平均: 104026.24 | 改进: 5446.64 | 停滞: 32/300000 | 耗时: 0.0分钟
Gen  100 | 最优: 83201.90 | 平均: 104677.20 | 改进: 0.00 | 停滞: 82/300000 | 耗时: 0.0分钟
Gen  150 | 最优: 83201.90 | 平均: 104775.63 | 改进: 0.00 | 停滞: 132/300000 | 耗时: 0.1分钟
Gen  200 | 最优: 83201.90 | 平均: 104575.00 | 改进: 0.00 | 停滞: 182/300000 | 耗时: 0.1分钟
Gen  250 | 最优: 82668.90 | 平均: 102583.67 | 改进: 533.00 | 停滞: 37/300000 | 耗时: 0.1分钟
Gen  300 | 最优: 82025.49 | 平均: 103735.29 | 改进: 643.41 | 停滞: 40/300000 | 耗时: 0.1分钟
Gen  350 | 最优: 82025.49 | 平均: 104766.66 | 改进: 0.00 | 停滞: 90/300000 | 耗时: 0.1分钟
Gen  400 | 最优: 82025.49 | 平均: 104585.23 | 改进: 0.00 | 停滞: 140/300000 | 耗时: 0.1分钟
Gen  450 | 最优: 82025.49 | 平均: 104496.06 | 改进: 0.00 | 停滞: 190/300000 | 耗时: 0.2分钟
Gen  500 | 最优: 82025.49 | 平均: 103476.33 | 改进: 0.00 | 停滞: 240/300000 | 耗时: 0.2分钟
Gen  550 | 最优: 82025.49 | 平均: 103166.83 | 改进: 0.00 | 停滞: 290/300000 | 耗时: 0.2分钟
Gen  600 | 最优: 82025.49 | 平均: 102858.54 | 改进: 0.00 | 停滞: 340/300000 | 耗时: 0.2分钟
Gen  650 | 最优: 82025.49 | 平均: 103434.62 | 改进: 0.00 | 停滞: 390/300000 | 耗时: 0.2分钟
Gen  700 | 最优: 82025.49 | 平均: 104909.72 | 改进: 0.00 | 停滞: 440/300000 | 耗时: 0.2分钟
Gen  750 | 最优: 82025.49 | 平均: 104728.36 | 改进: 0.00 | 停滞: 490/300000 | 耗时: 0.3分钟
Gen  800 | 最优: 82025.49 | 平均: 102930.15 | 改进: 0.00 | 停滞: 540/300000 | 耗时: 0.3分钟
Gen  850 | 最优: 82025.49 | 平均: 103994.53 | 改进: 0.00 | 停滞: 590/300000 | 耗时: 0.3分钟
Gen  900 | 最优: 82025.49 | 平均: 103643.80 | 改进: 0.00 | 停滞: 640/300000 | 耗时: 0.3分钟
Gen  950 | 最优: 82025.49 | 平均: 102832.99 | 改进: 0.00 | 停滞: 690/300000 | 耗时: 0.3分钟
Gen 1000 | 最优: 82025.49 | 平均: 103986.55 | 改进: 0.00 | 停滞: 740/300000 | 耗时: 0.3分钟
Gen 1050 | 最优: 82025.49 | 平均: 104337.26 | 改进: 0.00 | 停滞: 790/300000 | 耗时: 0.4分钟
Gen 1100 | 最优: 82025.49 | 平均: 103122.33 | 改进: 0.00 | 停滞: 840/300000 | 耗时: 0.4分钟
Gen 1150 | 最优: 82025.49 | 平均: 103736.90 | 改进: 0.00 | 停滞: 890/300000 | 耗时: 0.4分钟
Gen 1200 | 最优: 82025.49 | 平均: 104082.83 | 改进: 0.00 | 停滞: 940/300000 | 耗时: 0.4分钟
Gen 1250 | 最优: 82025.49 | 平均: 104357.08 | 改进: 0.00 | 停滞: 990/300000 | 耗时: 0.4分钟
Gen 1300 | 最优: 82025.49 | 平均: 104600.32 | 改进: 0.00 | 停滞: 1040/300000 | 耗时: 0.4分钟
Gen 1350 | 最优: 82025.49 | 平均: 103352.45 | 改进: 0.00 | 停滞: 1090/300000 | 耗时: 0.5分钟
Gen 1400 | 最优: 80723.73 | 平均: 104748.31 | 改进: 1301.76 | 停滞: 29/300000 | 耗时: 0.5分钟
Gen 1450 | 最优: 80723.73 | 平均: 105700.78 | 改进: 0.00 | 停滞: 79/300000 | 耗时: 0.5分钟
Gen 1500 | 最优: 80723.73 | 平均: 104329.65 | 改进: 0.00 | 停滞: 129/300000 | 耗时: 0.5分钟
Gen 1550 | 最优: 80723.73 | 平均: 104717.91 | 改进: 0.00 | 停滞: 179/300000 | 耗时: 0.5分钟
Gen 1600 | 最优: 80723.73 | 平均: 104540.56 | 改进: 0.00 | 停滞: 229/300000 | 耗时: 0.5分钟
Gen 1650 | 最优: 80723.73 | 平均: 104776.73 | 改进: 0.00 | 停滞: 279/300000 | 耗时: 0.6分钟
Gen 1700 | 最优: 80723.73 | 平均: 105137.53 | 改进: 0.00 | 停滞: 329/300000 | 耗时: 0.6分钟
Gen 1750 | 最优: 80723.73 | 平均: 105617.20 | 改进: 0.00 | 停滞: 379/300000 | 耗时: 0.6分钟
Gen 1800 | 最优: 80723.73 | 平均: 103620.36 | 改进: 0.00 | 停滞: 429/300000 | 耗时: 0.6分钟
Gen 1850 | 最优: 80723.73 | 平均: 106126.38 | 改进: 0.00 | 停滞: 479/300000 | 耗时: 0.6分钟
Gen 1900 | 最优: 80723.73 | 平均: 106561.73 | 改进: 0.00 | 停滞: 529/300000 | 耗时: 0.7分钟
Gen 1950 | 最优: 80723.73 | 平均: 103015.03 | 改进: 0.00 | 停滞: 579/300000 | 耗时: 0.7分钟
Gen 2000 | 最优: 80723.73 | 平均: 101552.95 | 改进: 0.00 | 停滞: 629/300000 | 耗时: 0.7分钟
Gen 2050 | 最优: 80723.73 | 平均: 104521.82 | 改进: 0.00 | 停滞: 679/300000 | 耗时: 0.7分钟
Gen 2100 | 最优: 80723.73 | 平均: 104716.46 | 改进: 0.00 | 停滞: 729/300000 | 耗时: 0.7分钟
Gen 2150 | 最优: 80723.73 | 平均: 106676.01 | 改进: 0.00 | 停滞: 779/300000 | 耗时: 0.7分钟
Gen 2200 | 最优: 80723.73 | 平均: 105349.48 | 改进: 0.00 | 停滞: 829/300000 | 耗时: 0.8分钟
Gen 2250 | 最优: 80723.73 | 平均: 105245.07 | 改进: 0.00 | 停滞: 879/300000 | 耗时: 0.8分钟
Gen 2300 | 最优: 80723.73 | 平均: 107006.86 | 改进: 0.00 | 停滞: 929/300000 | 耗时: 0.8分钟
Gen 2350 | 最优: 80723.73 | 平均: 105293.53 | 改进: 0.00 | 停滞: 979/300000 | 耗时: 0.8分钟
Gen 2400 | 最优: 80723.73 | 平均: 105318.09 | 改进: 0.00 | 停滞: 1029/300000 | 耗时: 0.8分钟
Gen 2450 | 最优: 80723.73 | 平均: 105219.24 | 改进: 0.00 | 停滞: 1079/300000 | 耗时: 0.9分钟
Gen 2500 | 最优: 80723.73 | 平均: 104717.92 | 改进: 0.00 | 停滞: 1129/300000 | 耗时: 0.9分钟
Gen 2550 | 最优: 80641.80 | 平均: 104292.30 | 改进: 81.93 | 停滞: 43/300000 | 耗时: 0.9分钟
Gen 2600 | 最优: 80641.80 | 平均: 105135.67 | 改进: 0.00 | 停滞: 93/300000 | 耗时: 0.9分钟
Gen 2650 | 最优: 80641.80 | 平均: 106258.96 | 改进: 0.00 | 停滞: 143/300000 | 耗时: 0.9分钟
Gen 2700 | 最优: 80641.80 | 平均: 105059.38 | 改进: 0.00 | 停滞: 193/300000 | 耗时: 0.9分钟
Gen 2750 | 最优: 80641.80 | 平均: 105353.84 | 改进: 0.00 | 停滞: 243/300000 | 耗时: 1.0分钟
