Algorithm,Run,HV,IGD,RunTime
NSGAII,1,0.06298309,0.08891293,600.88
NSGAII,2,0.13963418,0.36891984,600.60
NSGAII,3,0.13581722,0.22881260,600.37
NSGAII,4,0.21105818,0.46418890,601.05
NSGAII,5,0.22064490,0.47098965,600.92
NSGAII,6,0.05054600,0.22972090,600.42
NSGAII,7,0.14415781,0.13477783,600.83
NSGAII,8,0.19843286,0.43160780,600.78
NSGAII,9,0.21255489,0.39649966,600.08
NSGAII,10,0.23969436,0.48575093,600.62
NSGAII-Basic,1,0.09678014,0.05832917,300.05
NSGAII-Basic,2,0.19394625,0.34381034,300.03
NSGAII-Basic,3,0.26542782,0.37993466,300.04
NSGAII-Basic,4,0.13967161,0.08645873,300.09
NSGAII-Basic,5,0.24530172,0.33294562,300.10
NSGAII-Basic,6,0.17778588,0.05516360,300.02
NSGAII-Basic,7,0.05056777,0.00000000,300.09
NSGAII-Basic,8,0.09245794,0.31838765,300.04
NSGAII-Basic,9,0.21643422,0.16206306,300.06
NSGAII-Basic,10,0.13179295,0.16506918,300.08
MOEAD,1,0.09554606,0.71802560,300.09
MOEAD,2,0.13581077,0.57254351,300.01
MOEAD,3,0.13424192,0.75733561,300.09
MOEAD,4,0.11331183,0.73632709,300.07
MOEAD,5,0.14133360,0.74637551,300.08
MOEAD,6,0.14784228,0.59685601,300.08
MOEAD,7,0.16316837,0.48880519,300.08
MOEAD,8,0.15180949,0.61502404,300.02
MOEAD,9,0.07412782,0.77589216,300.08
MOEAD,10,0.13196994,0.66735536,300.03
MOGWO,1,0.11491726,1.00671935,300.06
MOGWO,2,0.10683604,1.04612352,300.05
MOGWO,3,0.21694599,0.77698395,300.03
MOGWO,4,0.25704224,0.77411864,300.07
MOGWO,5,0.18406969,0.82124739,300.05
MOGWO,6,0.13776063,1.03558622,300.07
MOGWO,7,0.27689618,0.78075687,300.05
MOGWO,8,0.17431145,0.82559141,300.01
MOGWO,9,0.15624772,1.03363479,300.07
MOGWO,10,0.16032799,0.92047338,300.04
SPEA2,1,0.13163760,0.30155294,300.11
SPEA2,2,0.21039451,0.48848518,300.05
SPEA2,3,0.13625313,0.15900880,300.10
SPEA2,4,0.18447638,0.32470100,300.07
SPEA2,5,0.12395719,0.40732514,300.03
SPEA2,6,0.15621256,0.29193058,300.03
SPEA2,7,0.08753200,0.18004382,300.05
SPEA2,8,0.13944505,0.17810662,300.13
SPEA2,9,0.24676169,0.58946188,300.11
SPEA2,10,0.14633212,0.29412756,300.10
