Algorithm,Run,HV,IGD,RunTime
NSGAII,1,0.89032513,0.15552378,300.19
NSGAII,2,0.81898935,0.20199351,300.05
NSGAII,3,0.80847211,0.20178311,300.15
NSGAII,4,0.86054919,0.14910913,300.07
NSGAII,5,0.98811465,0.12853690,300.28
NSGAII,6,0.63775697,0.30082888,300.05
NSGAII,7,0.76893366,0.20852771,300.19
NSGAII,8,0.81711256,0.17491789,300.02
NSGAII,9,0.85074260,0.17557399,300.06
NSGAII,10,0.89798936,0.15615475,300.08
NSGAII-Basic,1,0.67573761,0.29819952,300.00
NSGAII-Basic,2,0.60931137,0.29999295,300.00
NSGAII-Basic,3,0.53825790,0.33357682,300.03
NSGAII-Basic,4,0.52360559,0.34726108,300.02
NSGAII-Basic,5,0.59071128,0.31514752,300.03
NSGAII-Basic,6,0.47326223,0.38897477,300.01
NSGAII-Basic,7,0.60060441,0.31999236,300.02
NSGAII-Basic,8,0.47069167,0.38340256,300.01
NSGAII-Basic,9,0.31827890,0.53671625,300.02
NSGAII-Basic,10,0.27556295,0.57623731,300.02
MOEAD,1,0.13131963,0.75686945,300.47
MOEAD,2,0.18382992,0.66900275,300.53
MOEAD,3,0.20115032,0.65210328,300.21
MOEAD,4,0.08100215,0.83452753,300.32
MOEAD,5,0.26725052,0.56792906,300.50
MOEAD,6,0.23989690,0.59836490,300.19
MOEAD,7,0.19730365,0.64920223,300.10
MOEAD,8,0.08526771,0.85607932,300.26
MOEAD,9,0.09200982,0.84492574,300.31
MOEAD,10,0.29006586,0.56363672,300.18
MOGWO,1,0.41264339,0.48770682,300.17
MOGWO,2,0.46072518,0.44128738,300.11
MOGWO,3,0.27036546,0.61723129,300.21
MOGWO,4,0.44099436,0.43560659,300.52
MOGWO,5,0.32274691,0.59337097,300.31
MOGWO,6,0.54199119,0.34805227,300.64
MOGWO,7,0.26107808,0.61923758,300.05
MOGWO,8,0.29427434,0.59964387,300.33
MOGWO,9,0.29029990,0.57899664,300.61
MOGWO,10,0.30476636,0.58008954,300.42
SPEA2,1,0.35053559,0.48792310,300.08
SPEA2,2,0.33356615,0.50163458,300.11
SPEA2,3,0.39702220,0.44692610,300.01
SPEA2,4,0.18207714,0.66989119,300.03
SPEA2,5,0.48390086,0.37902170,300.07
SPEA2,6,0.41424681,0.43547803,300.10
SPEA2,7,0.57802202,0.30165039,300.06
SPEA2,8,0.63365777,0.30906656,300.04
SPEA2,9,0.32504218,0.52097109,300.05
SPEA2,10,0.20630084,0.65584811,300.12
