# Pareto Front
# Size: 19
# Format: Cmax Energy

79041.000000	234.198573
91006.000000	211.526039
91100.000000	211.469594
88933.000000	217.545048
93156.000000	211.321953
85616.000000	223.003763
87170.000000	222.885530
75928.000000	236.552098
85515.000000	223.279399
79165.000000	234.041415
90005.000000	217.367640
88839.000000	217.601493
90895.000000	211.585214
76646.000000	234.799491
78810.000000	234.265601
91465.000000	211.383742
76500.000000	235.336483
86206.000000	222.971383
89041.000000	217.453493
