Algorithm,Run,HV,IGD,RunTime
NSGAII,1,0.12486330,0.62501615,300.05
NSGAII,2,0.05393108,0.04743871,300.08
NSGAII,3,0.01138782,0.40262144,300.05
NSGAII,4,0.36007679,0.37554474,300.01
NSGAII,5,0.11451476,0.48991107,300.01
NSGAII,6,0.01742167,0.06055422,300.01
NSGAII,7,0.20139447,0.52982419,300.07
NSGAII,8,0.04672047,0.48828260,300.08
NSGAII,9,0.26718748,0.29957508,300.04
NSGAII,10,0.06816101,0.49522996,300.02
NSGAII-Basic,1,0.16331369,0.50532723,300.00
NSGAII-Basic,2,0.00712541,0.05338724,300.01
NSGAII-Basic,3,0.16895666,0.00548591,300.01
NSGAII-Basic,4,0.24352720,0.37415866,300.01
NSGAII-Basic,5,0.00715712,0.04996015,300.00
NSGAII-Basic,6,0.20836096,0.02673498,300.00
NSGAII-Basic,7,0.16704612,0.01862598,300.01
NSGAII-Basic,8,0.17334927,0.22612627,300.01
NSGAII-Basic,9,0.30307902,0.01693840,300.01
NSGAII-Basic,10,0.21020648,0.01910726,300.01
MOEAD,1,0.14591300,0.60706511,300.01
MOEAD,2,0.25395023,0.71787093,300.00
MOEAD,3,0.15794700,0.77883180,300.06
MOEAD,4,0.13747786,0.66918445,300.05
MOEAD,5,0.21813449,0.65868461,300.05
MOEAD,6,0.01830510,0.50295570,300.04
MOEAD,7,0.25145363,0.57819267,300.00
MOEAD,8,0.10695502,0.46952278,300.01
MOEAD,9,0.62250787,1.05657431,300.05
MOEAD,10,0.17227718,1.31688503,300.08
MOGWO,1,0.10000000,1.36787275,300.07
MOGWO,2,0.05123425,0.46582257,300.07
MOGWO,3,0.16295962,0.68200972,300.13
MOGWO,4,0.10442190,0.34849227,300.14
MOGWO,5,0.12841510,0.78812743,300.02
MOGWO,6,0.01915041,0.34472301,300.04
MOGWO,7,0.09851708,0.35075463,300.07
MOGWO,8,0.08663721,0.50437197,300.01
MOGWO,9,0.16960232,0.43125182,300.03
MOGWO,10,0.08822094,0.46368086,300.10
SPEA2,1,0.05537531,0.07169766,300.02
SPEA2,2,0.30647725,0.57476518,300.02
SPEA2,3,0.26208981,0.73365399,300.04
SPEA2,4,0.05992980,0.06062859,300.01
SPEA2,5,0.13357720,0.39778745,300.03
SPEA2,6,0.11311560,0.43323460,300.01
SPEA2,7,0.00894201,0.27151420,300.03
SPEA2,8,0.08552202,0.46882870,300.03
SPEA2,9,0.16931015,0.03812746,300.02
SPEA2,10,0.00000000,0.19717887,300.01
