Algorithm,Cmax,AvgUtilization,TimeMs
GA-TS,84376.5000,0.5813,300000
GA-TS,84376.5000,0.5813,300008
GA-TS,84376.5000,0.5813,300001
GA-TS,84376.5000,0.5813,300000
GA-TS,84376.5000,0.5813,300009
GA-TS,83442.7500,0.8720,300004
GA-TS,69436.5000,0.8720,300003
GA-TS,84376.5000,0.5813,300002
GA-TS,84376.5000,0.5813,300002
GA-TS,83442.7500,0.8720,300001
GA-GA,64081.0000,0.8720,313054
GA-GA,79085.2500,0.8720,312464
GA-GA,79085.2500,0.8720,314505
GA-GA,64081.0000,0.8720,304458
GA-GA,69436.5000,0.8720,312060
GA-GA,69436.5000,0.8720,304035
GA-GA,64081.0000,0.8720,310628
GA-GA,64081.0000,0.8720,311144
GA-GA,64081.0000,0.8720,306791
GA-GA,64081.0000,0.8720,316231
GA-ACO,79085.2500,0.8720,308693
GA-ACO,69436.5000,0.8720,324107
GA-ACO,69436.5000,0.8720,323645
GA-ACO,69436.5000,0.8720,323411
GA-ACO,83442.7500,0.8720,318825
GA-ACO,69436.5000,0.8720,310723
GA-ACO,69436.5000,0.8720,315900
GA-ACO,69436.5000,0.8720,314283
GA-ACO,69436.5000,0.8720,320379
GA-ACO,69436.5000,0.8720,332846
ALNS,79097.7000,0.0000,300000
ALNS,64081.0000,0.0000,300001
ALNS,64081.0000,0.0000,300011
ALNS,64081.0000,0.0000,300000
ALNS,79097.7000,0.0000,300000
ALNS,64081.0000,0.0000,300000
ALNS,69436.5000,0.0000,300000
ALNS,79097.7000,0.0000,300000
ALNS,79097.7000,0.0000,300000
ALNS,79097.7000,0.0000,300000
