Algorithm,RunID,Cmax,AvgUtilization,TimeMs,MachinePath,ItemPath
GA-TS,1,84376.5000,0.5813,300000,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_04
GA-TS,2,84376.5000,0.5813,300008,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_04
GA-TS,3,84376.5000,0.5813,300001,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_04
GA-TS,4,84376.5000,0.5813,300000,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_04
GA-TS,5,84376.5000,0.5813,300009,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_04
GA-TS,6,83442.7500,0.8720,300004,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_04
GA-TS,7,69436.5000,0.8720,300003,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_04
GA-TS,8,84376.5000,0.5813,300002,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_04
GA-TS,9,84376.5000,0.5813,300002,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_04
GA-TS,10,83442.7500,0.8720,300001,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_04
GA-GA,1,64081.0000,0.8720,313054,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_04
GA-GA,2,79085.2500,0.8720,312464,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_04
GA-GA,3,79085.2500,0.8720,314505,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_04
GA-GA,4,64081.0000,0.8720,304458,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_04
GA-GA,5,69436.5000,0.8720,312060,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_04
GA-GA,6,69436.5000,0.8720,304035,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_04
GA-GA,7,64081.0000,0.8720,310628,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_04
GA-GA,8,64081.0000,0.8720,311144,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_04
GA-GA,9,64081.0000,0.8720,306791,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_04
