Algorithm,Run,HV,IGD,RunTime
NSGAII,1,1.13255696,0.02628492,300.01
NSGAII,2,1.00831109,0.06308004,300.02
NSGAII,3,1.11694910,0.02622462,300.01
NSGAII,4,1.03187229,0.08205497,300.01
NSGAII,5,1.10576568,0.03553279,300.01
NSGAII,6,1.07870101,0.05085525,300.02
NSGAII,7,1.03049523,0.04721644,300.04
NSGAII,8,1.12775976,0.03631663,300.01
NSGAII,9,1.10212658,0.03639172,300.02
NSGAII,10,1.09150144,0.04174580,300.06
NSGAII-Basic,1,0.50559039,0.54311014,300.01
NSGAII-Basic,2,0.45671651,0.50469642,300.01
NSGAII-Basic,3,0.48175684,0.55883925,300.00
NSGAII-Basic,4,0.46160703,0.55299488,300.00
NSGAII-Basic,5,0.36832284,0.61888781,300.01
NSGAII-Basic,6,0.44183145,0.56192161,300.00
NSGAII-Basic,7,0.48120209,0.54298003,300.01
NSGAII-Basic,8,0.46629313,0.50006870,300.01
NSGAII-Basic,9,0.50644214,0.50414961,300.01
NSGAII-Basic,10,0.46474194,0.49765320,300.01
MOEAD,1,0.07403330,0.93632438,300.09
MOEAD,2,0.25492402,0.69315210,300.12
MOEAD,3,0.44488328,0.60372456,300.02
MOEAD,4,0.35521983,0.65874666,300.09
MOEAD,5,0.38440973,0.66118656,300.08
MOEAD,6,0.14679062,0.84703770,300.07
MOEAD,7,0.42436340,0.58189756,300.02
MOEAD,8,0.12670767,0.87472983,300.09
MOEAD,9,0.26091872,0.75093196,300.08
MOEAD,10,0.33463766,0.63116627,300.03
MOGWO,1,0.49835547,0.39762781,300.07
MOGWO,2,0.51337481,0.42550138,300.24
MOGWO,3,0.61220530,0.35998529,300.23
MOGWO,4,0.55982400,0.38502386,300.14
MOGWO,5,0.58447456,0.35393649,300.16
MOGWO,6,0.60451764,0.33356285,300.17
MOGWO,7,0.71055733,0.26022580,300.12
MOGWO,8,0.57107721,0.36391530,300.24
MOGWO,9,0.61350771,0.33015857,300.02
MOGWO,10,0.59851827,0.34559318,300.11
SPEA2,1,0.42952718,0.55458527,300.05
SPEA2,2,0.46179241,0.55977232,300.00
SPEA2,3,0.38917718,0.58828029,300.05
SPEA2,4,0.34289504,0.61673789,300.02
SPEA2,5,0.44344036,0.55141508,300.02
SPEA2,6,0.45788564,0.50242921,300.05
SPEA2,7,0.47963217,0.54697404,300.01
SPEA2,8,0.48831320,0.54793174,300.00
SPEA2,9,0.42705768,0.55621031,300.05
SPEA2,10,0.39724279,0.61752133,300.05
