Algorithm,Run,HV,IGD,RunTime
NSGAII,1,0.99035141,0.05581517,300.08
NSGAII,2,1.08313047,0.04184392,300.06
NSGAII,3,1.02975734,0.05844356,300.06
NSGAII,4,0.89851386,0.12059628,300.07
NSGAII,5,1.02665734,0.08703567,300.06
NSGAII,6,0.90056725,0.11717245,300.07
NSGAII,7,0.99729162,0.06140753,300.14
NSGAII,8,0.88093899,0.12815528,300.13
NSGAII,9,1.06006448,0.05217581,300.06
NSGAII,10,1.02126603,0.05827294,300.07
NSGAII-Basic,1,0.63216275,0.33398767,300.00
NSGAII-Basic,2,0.60684731,0.33557537,300.01
NSGAII-Basic,3,0.20845336,0.67341281,300.01
NSGAII-Basic,4,0.54805691,0.35437482,300.01
NSGAII-Basic,5,0.59408575,0.37365118,300.01
NSGAII-Basic,6,0.35061467,0.50911003,300.02
NSGAII-Basic,7,0.56338838,0.34058631,300.01
NSGAII-Basic,8,0.63523706,0.32067766,300.00
NSGAII-Basic,9,0.55109154,0.34757604,300.01
NSGAII-Basic,10,0.62665061,0.32275782,300.01
MOEAD,1,0.21887277,0.63555118,300.08
MOEAD,2,0.43530997,0.42555128,300.09
MOEAD,3,0.23538802,0.63256976,300.12
MOEAD,4,0.47012042,0.41129478,300.08
MOEAD,5,0.50705406,0.38980298,300.17
MOEAD,6,0.51294828,0.38390596,300.08
MOEAD,7,0.31543278,0.53496649,300.02
MOEAD,8,0.09307804,0.80759885,300.10
MOEAD,9,0.54264208,0.37803101,300.15
MOEAD,10,0.52880926,0.37473655,300.02
MOGWO,1,0.47469815,0.39228365,300.26
MOGWO,2,0.79982522,0.21876965,300.21
MOGWO,3,0.57811500,0.28672020,300.26
MOGWO,4,0.57540038,0.29897390,300.11
MOGWO,5,0.49299632,0.39708633,300.22
MOGWO,6,0.65509211,0.24374675,300.19
MOGWO,7,0.65494387,0.25569349,300.14
MOGWO,8,0.60598294,0.26837184,300.06
MOGWO,9,0.65183368,0.29358794,300.21
MOGWO,10,0.79777800,0.17333181,300.29
SPEA2,1,0.54368567,0.37264695,300.07
SPEA2,2,0.53151778,0.37358535,300.05
SPEA2,3,0.54858174,0.36991949,300.07
SPEA2,4,0.57401525,0.34209846,300.04
SPEA2,5,0.61163938,0.35216941,300.06
SPEA2,6,0.57310935,0.37234992,300.07
SPEA2,7,0.56474903,0.35684142,300.04
SPEA2,8,0.58380900,0.37571092,300.02
SPEA2,9,0.54501003,0.37614555,300.07
SPEA2,10,0.60102760,0.33694581,300.08
