Algorithm,Cmax,AvgUtilization,TimeMs
GA-TS,249244.0000,0.9026,300010
GA-TS,257487.0000,0.7897,300010
GA-TS,263640.0000,0.7897,300004
GA-TS,248149.5000,0.9026,300014
GA-TS,261405.0000,0.7897,300012
GA-TS,260627.2500,0.7897,300007
GA-TS,262821.0000,0.7897,300007
GA-TS,264112.0000,0.9026,300008
GA-TS,263428.5000,0.7897,300017
GA-TS,263400.7500,0.7897,300028
GA-GA,237878.2500,0.9026,426196
GA-GA,240040.0000,0.9026,354844
GA-GA,240679.5000,0.9026,396495
GA-GA,241456.0000,0.9026,364364
GA-GA,244103.2500,0.9026,377376
GA-GA,239804.0000,0.9026,421174
GA-GA,239568.0000,0.9026,334087
GA-GA,239332.0000,0.9026,340842
GA-GA,235084.0000,0.9026,422858
GA-GA,241613.2500,0.9026,402381
GA-ACO,280285.0000,0.7897,559958
GA-ACO,276501.0000,0.7020,547904
GA-ACO,274149.0000,0.7897,576887
GA-ACO,285949.0000,0.7020,521257
GA-ACO,276273.0000,0.7897,556157
GA-ACO,270898.5000,0.7897,465630
GA-ACO,272497.0000,0.7897,608303
GA-ACO,269937.0000,0.7897,465072
GA-ACO,266361.0000,0.7897,537178
GA-ACO,279613.5000,0.7020,450738
ALNS,230253.0000,0.0000,300011
ALNS,228876.9000,0.0000,300015
ALNS,230253.0000,0.0000,300052
ALNS,231366.9000,0.0000,300002
ALNS,231068.1000,0.0000,300033
ALNS,228837.0000,0.0000,300003
ALNS,231433.0000,0.0000,300026
ALNS,218800.0000,0.0000,300020
ALNS,231989.4000,0.0000,300027
ALNS,222353.1000,0.0000,300012
