Algorithm,AvgCmax,MinCmax,MaxCmax,StdDev,AvgUtilization,AvgTimeMs
GA-TS,259431.5000,248149.5000,264112.0000,5683.4188,0.8236,300011.70
GA-GA,239955.8250,235084.0000,244103.2500,2265.9021,0.9026,384061.70
GA-ACO,275246.4000,266361.0000,285949.0000,5444.6342,0.7634,528908.40
ALNS,228523.0400,218800.0000,231989.4000,4169.6926,0.0000,300020.10
