Pareto前沿解集
================================================================================

解的数量: 100

--------------------------------------------------------------------------------
序号       Cmax                 能耗(kWh)              装箱质量            批次数       
--------------------------------------------------------------------------------
1        69449.05             870.59               0.5330          12        
2        70164.05             869.67               0.5330          12        
3        70164.05             869.67               0.5330          12        
4        69449.05             870.59               0.5330          12        
5        70016.05             870.13               0.5330          12        
6        69760.05             870.51               0.5330          12        
7        70016.05             870.13               0.5330          12        
8        69760.05             870.51               0.5330          12        
9        69449.05             870.59               0.5330          12        
10       70164.05             869.67               0.5330          12        
11       70016.05             870.13               0.5330          12        
12       69760.05             870.51               0.5330          12        
13       70164.05             869.67               0.5330          12        
14       69449.05             870.59               0.5330          12        
15       70016.05             870.13               0.5330          12        
16       69760.05             870.51               0.5330          12        
17       70164.05             869.67               0.5330          12        
18       69449.05             870.59               0.5330          12        
19       70016.05             870.13               0.5330          12        
20       69760.05             870.51               0.5330          12        
21       69449.05             870.59               0.5330          12        
22       70164.05             869.67               0.5330          12        
23       70016.05             870.13               0.5330          12        
24       69760.05             870.51               0.5330          12        
25       70164.05             869.67               0.5330          12        
26       69449.05             870.59               0.5330          12        
27       70016.05             870.13               0.5330          12        
28       69760.05             870.51               0.5330          12        
29       69449.05             870.59               0.5330          12        
30       70164.05             869.67               0.5330          12        
31       70016.05             870.13               0.5330          12        
32       69760.05             870.51               0.5330          12        
33       70164.05             869.67               0.5330          12        
34       69449.05             870.59               0.5330          12        
35       70016.05             870.13               0.5330          12        
36       69760.05             870.51               0.5330          12        
37       69449.05             870.59               0.5330          12        
38       70164.05             869.67               0.5330          12        
39       70016.05             870.13               0.5330          12        
40       69760.05             870.51               0.5330          12        
41       69449.05             870.59               0.5330          12        
42       70164.05             869.67               0.5330          12        
43       70016.05             870.13               0.5330          12        
44       69760.05             870.51               0.5330          12        
45       70164.05             869.67               0.5330          12        
46       69449.05             870.59               0.5330          12        
47       70016.05             870.13               0.5330          12        
48       69760.05             870.51               0.5330          12        
49       70164.05             869.67               0.5330          12        
50       69449.05             870.59               0.5330          12        
51       70016.05             870.13               0.5330          12        
52       69760.05             870.51               0.5330          12        
53       69449.05             870.59               0.5330          12        
54       70164.05             869.67               0.5330          12        
55       70016.05             870.13               0.5330          12        
56       69760.05             870.51               0.5330          12        
57       70164.05             869.67               0.5330          12        
58       69449.05             870.59               0.5330          12        
59       70016.05             870.13               0.5330          12        
60       69760.05             870.51               0.5330          12        
61       69449.05             870.59               0.5330          12        
62       70164.05             869.67               0.5330          12        
63       70016.05             870.13               0.5330          12        
64       69760.05             870.51               0.5330          12        
65       70164.05             869.67               0.5330          12        
66       69449.05             870.59               0.5330          12        
67       70016.05             870.13               0.5330          12        
68       69760.05             870.51               0.5330          12        
69       69449.05             870.59               0.5330          12        
70       70164.05             869.67               0.5330          12        
71       70016.05             870.13               0.5330          12        
72       69760.05             870.51               0.5330          12        
73       69449.05             870.59               0.5330          12        
74       70164.05             869.67               0.5330          12        
75       70016.05             870.13               0.5330          12        
76       69760.05             870.51               0.5330          12        
77       69449.05             870.59               0.5330          12        
78       70164.05             869.67               0.5330          12        
79       70016.05             870.13               0.5330          12        
80       69760.05             870.51               0.5330          12        
81       69449.05             870.59               0.5330          12        
82       70164.05             869.67               0.5330          12        
83       70016.05             870.13               0.5330          12        
84       69760.05             870.51               0.5330          12        
85       70164.05             869.67               0.5330          12        
86       69449.05             870.59               0.5330          12        
87       70016.05             870.13               0.5330          12        
88       69760.05             870.51               0.5330          12        
89       70164.05             869.67               0.5330          12        
90       69449.05             870.59               0.5330          12        
91       70016.05             870.13               0.5330          12        
92       69760.05             870.51               0.5330          12        
93       70164.05             869.67               0.5330          12        
94       69449.05             870.59               0.5330          12        
95       70016.05             870.13               0.5330          12        
96       69760.05             870.51               0.5330          12        
97       69449.05             870.59               0.5330          12        
98       70164.05             869.67               0.5330          12        
99       70016.05             870.13               0.5330          12        
100      69760.05             870.51               0.5330          12        
--------------------------------------------------------------------------------

统计信息:
  Cmax范围: [69449.05, 70164.05]
  能耗范围: [869.67, 870.59] kWh
  Cmax改进: 1.02%
  能耗改进: 0.11%
