# Pareto Front
# Size: 34
# Format: Cmax Energy

90005.000000	143.692027
84590.000000	162.671601
85515.000000	149.321516
90895.000000	131.165625
88630.000000	148.794399
88831.000000	143.872588
83993.000000	162.979618
91465.000000	130.964153
89041.000000	143.777880
86206.000000	149.013499
87666.000000	148.880252
82241.000000	167.252357
85616.000000	149.045880
87559.000000	148.912633
91100.000000	131.050006
88933.000000	143.869435
91006.000000	131.106450
93156.000000	130.902364
85395.000000	149.382285
75485.000000	170.893131
83846.000000	163.040387
75355.000000	171.042498
78262.000000	169.969450
77944.000000	170.226044
87170.000000	148.927647
78168.000000	170.055302
85587.000000	149.194060
84000.000000	162.703982
82387.000000	167.019387
82086.000000	167.288551
79458.000000	167.992781
78495.000000	168.078634
82470.000000	166.933535
82306.000000	167.153379
